true_values,predicted_values,abs_error
1.753,1.1284869,0.39001667
2.373,1.5021608,0.75836074
2.75,1.0009785,3.0590763
2.292,3.9685488,2.8108156
2.021,0.0,4.0844407
2.089,0.0,4.363921
1.984,0.7479728,1.5277634
1.92,3.3094816,1.9306593
2.023,4.496484,6.118122
2.408,0.4033093,4.0187845
2.589,0.04353118,6.4794116
2.445,0.0,5.9780245
2.449,0.0,5.9976006
2.268,0.0,5.1438236
2.278,0.0,5.1892843
2.32,0.0,5.3823996
2.262,0.0,5.1166444
2.279,2.175324,0.01074873
2.312,3.0415432,0.5322333
2.339,1.0016472,1.7885123
2.446,0.43065065,4.061633
2.526,0.0,6.3806763
2.738,4.4144025,2.8103256
2.726,5.5821652,8.15768
1.898,6.1392183,17.987934
1.389,3.1561542,3.1228335
1.287,2.079646,0.628288
1.227,0.0,1.505529
0.914,0.0,0.83539593
0.768,0.0,0.589824
0.837,0.0,0.70056903
0.916,0.0,0.839056
0.835,0.0,0.697225
0.769,0.0,0.591361
0.64,0.0,0.4096
0.627,0.0,0.39312896
0.614,0.0,0.37699604
0.518,0.0,0.26832402
0.586,0.0,0.34339604
0.798,0.0,0.636804
0.846,0.0,0.715716
0.726,0.0,0.527076
0.68,1.1115677,0.1862507
0.751,0.061323345,0.47565386
0.915,0.0,0.837225
1.191,1.2780433,0.0075765336
1.519,0.0,2.3073611
1.813,0.0,3.286969
2.356,0.0,5.550736
3.334,0.17692989,9.967092
4.021,5.6474895,2.6454685
3.938,5.356768,2.0129032
3.985,3.3576999,0.39350533
4.452,4.8087645,0.12728077
4.796,6.7080016,3.6557503
5.575,6.0009017,0.18139242
5.583,5.1576204,0.18094793
5.729,4.549604,1.3909752
5.868,8.778873,8.473184
5.982,6.9681373,0.97246695
5.998,3.83775,4.666681
5.732,4.7781825,0.90976757
5.767,9.1183605,11.231616
5.9,7.7773795,3.5245535
5.87,8.456333,6.68912
6.632,6.8989005,0.071235895
6.984,8.154227,1.3694314
6.175,7.900492,2.9773226
6.139,8.015695,3.521983
5.957,8.220257,5.1223326
5.675,8.387633,7.3583784
4.945,7.7893834,8.090516
4.27,6.9846487,7.3693175
3.716,5.6874633,3.8866673
3.306,2.8269546,0.22948448
3.081,4.1570907,1.1579709
2.066,2.4567983,0.15272334
1.499,0.0,2.247001
1.241,0.0,1.5400811
0.939,0.0,0.881721
0.896,0.16817492,0.52972937
0.94,0.0,0.8836
1.112,0.0,1.236544
1.186,0.0,1.406596
1.286,0.0,1.6537961
1.274,0.29936296,0.94991744
1.174,0.0,1.3782761
1.053,0.0,1.108809
0.811,0.0,0.657721
0.767,0.0,0.588289
0.918,0.0,0.84272397
1.041,0.0,1.083681
0.98,0.33789843,0.41229445
0.769,0.0,0.591361
0.675,0.0,0.45562503
0.687,0.0,0.47196898
0.843,0.0,0.710649
0.971,0.0,0.94284105
1.206,0.0,1.454436
1.498,0.0,2.244004
1.464,0.0,2.143296
1.436,0.0,2.0620959
1.544,0.0,2.3839362
1.862,0.0,3.4670439
2.193,1.8186483,0.14013922
2.551,2.6044276,0.0028544932
2.761,3.3911977,0.39714924
2.891,0.0,8.357882
3.19,0.0,10.176101
3.01,1.7624142,1.5564703
3.068,3.4325829,0.13292061
5.212,4.80269,0.16753456
9.24,2.0279827,52.01319
10.366,9.487648,0.77150255
5.808,11.468927,32.046097
2.566,6.1185703,12.620756
1.044,3.8135667,7.670499
0.343,3.3253412,8.89436
0.253,1.2022138,0.90100676
0.703,0.6633782,0.0015698894
1.193,0.097147584,1.2008924
0.916,0.0,0.839056
2.465,0.0,6.076225
3.471,3.6756425,0.041878566
2.071,4.912817,8.075923
1.228,0.9279074,0.09005559
1.666,0.5906574,1.1563618
2.858,0.0,8.168164
2.286,2.0402732,0.060381673
1.656,0.54668623,1.230577
1.522,2.3746696,0.7270454
1.763,3.6281514,3.4787898
2.079,3.388935,1.71593
2.316,5.1361103,7.953022
2.24,3.1383576,0.8070464
2.449,1.6945047,0.5692629
3.299,0.0,10.883401
4.52,0.0,20.430399
5.234,1.5429397,13.623928
5.434,3.7343721,2.8887348
5.717,5.5604105,0.024520274
6.167,4.8540454,1.7238493
6.695,5.118595,2.4850528
6.913,8.310884,1.9540807
6.589,5.903397,0.47005168
6.151,8.25373,4.4214725
5.962,9.051133,9.542745
5.968,10.211801,18.009844
6.084,12.461477,40.672215
6.311,7.1955123,0.7823622
6.64,7.146998,0.25704703
7.067,5.1322074,3.743422
7.415,7.0854683,0.108591124
7.694,7.3660865,0.10752712
7.72,7.5080075,0.04494072
7.894,5.8846827,4.0373564
7.988,5.3059115,7.1935983
7.743,6.646677,1.2019242
7.444,7.0423975,0.16128439
7.426,6.6418614,0.61487347
7.364,6.9970374,0.13466142
7.415,6.8915515,0.2739983
7.65,7.031505,0.38253605
7.815,6.9463863,0.7544898
8.19,6.94645,1.546415
8.381,7.026502,1.8346633
8.451,7.0945544,1.8399452
8.599,7.106101,2.2287471
8.746,7.1526637,2.5387216
8.798,7.2296615,2.4596868
8.501,7.274924,1.5032638
8.202,7.222218,0.959972
7.947,7.1412835,0.6491791
7.445,7.0834346,0.13072968
7.112,6.9875402,0.015490227
7.084,6.9806266,0.0106860865
7.127,7.4148593,0.082863055
6.995,8.118258,1.2617098
6.282,7.2067275,0.85512084
5.992,7.1942916,1.4455048
6.062,7.9400153,3.5269423
