true_values,predicted_values,abs_error
0.07,0.0,0.0049
0.078,5.1701784,25.93028
0.198,4.5072966,18.570038
0.551,4.4360085,15.093289
1.02,5.0216584,16.01327
1.227,5.695323,19.965908
1.226,5.98705,22.667599
1.361,5.964922,21.196096
1.753,6.188176,19.670786
2.373,6.829923,19.864166
2.75,7.8075724,25.579039
2.292,8.141082,34.21176
2.021,6.962956,24.42293
2.089,6.653369,20.833466
1.984,7.0348234,25.510815
1.92,6.903364,24.833918
2.023,6.867129,23.465582
2.408,7.095484,21.972504
2.589,7.721508,26.342642
2.445,7.7865124,28.531757
2.449,7.303721,23.568317
2.268,7.3115726,25.437622
2.278,7.0003605,22.30069
2.32,7.1519923,23.348148
2.262,7.2745886,25.126043
2.279,7.1643186,23.866339
2.312,7.230433,24.190985
2.339,7.290683,24.519165
2.446,7.314723,23.704462
2.526,7.469783,24.440989
2.738,7.516798,22.836912
2.726,7.782214,25.565304
1.898,7.5783854,32.26678
1.389,6.0934887,22.132214
1.287,5.8059683,20.421078
1.227,6.0091524,22.868979
0.914,5.9566,25.427816
0.768,5.456129,21.978554
0.837,5.251763,19.490131
0.916,5.3738956,19.872835
0.835,5.4957533,21.72262
0.769,5.3591895,21.06984
0.64,5.259693,21.341566
0.627,5.058702,19.639984
0.614,5.048464,19.66447
0.518,5.029211,20.351025
0.586,4.878161,18.422646
0.798,4.995818,17.621677
0.846,5.32771,20.085724
0.726,5.3857794,21.713545
0.68,5.189992,20.340029
0.751,5.125778,19.138685
0.915,5.2430363,18.731897
1.191,5.5008106,18.574469
1.519,5.937047,19.519138
1.813,6.456343,21.560635
2.356,6.9048157,20.691725
3.334,7.7557325,19.551718
4.021,9.127306,26.074362
3.938,9.519522,31.153387
3.985,9.013369,25.284494
4.452,9.037137,21.02348
4.796,9.73657,24.409235
5.575,10.110725,20.572807
5.583,11.066005,30.06334
5.729,10.863209,26.360098
5.868,11.007204,26.411419
5.982,11.140002,26.604988
5.998,11.241116,27.49026
5.732,11.225527,30.178839
5.767,10.877438,26.11657
5.9,10.976633,25.772202
5.87,11.1512375,27.89147
6.632,11.086612,19.843567
6.984,11.993274,25.092821
6.175,12.222236,36.569057
6.139,11.175191,25.36322
5.957,11.254747,28.06613
5.675,11.083189,29.248507
4.945,10.7843685,34.09822
4.27,9.877095,31.439518
3.716,9.088179,28.860302
3.306,8.458185,26.545015
