true_values,predicted_values,abs_error
1.361,1.3241127,0.036887288
1.753,1.5778275,0.17517257
2.373,2.2101867,0.16281319
2.75,2.8820107,0.1320107
2.292,2.8319483,0.5399482
2.021,1.6662228,0.3547771
2.089,2.4580727,0.36907268
1.984,2.2625701,0.27857018
1.92,1.7693336,0.15066636
2.023,2.2333524,0.21035242
2.408,2.1777217,0.23027825
2.589,2.958936,0.369936
2.445,2.5766287,0.13162875
2.449,2.3738377,0.07516217
2.268,2.7669852,0.4989853
2.278,2.025758,0.2522421
2.32,2.6501017,0.33010173
2.262,2.4295435,0.16754341
2.279,2.214775,0.06422496
2.312,2.593709,0.28170896
2.339,2.3651817,0.026181698
2.446,2.5062985,0.060298443
2.526,2.7175646,0.19156456
2.738,2.6300027,0.10799718
2.726,3.1332076,0.4072075
1.898,2.6469893,0.74898934
1.389,1.0925262,0.29647386
1.287,1.5426445,0.25564456
1.227,1.4054174,0.17841744
0.914,1.0168471,0.10284716
0.768,0.786899,0.018898964
0.837,0.773698,0.06330204
0.916,1.0782676,0.16226757
0.835,0.97913337,0.14413339
0.769,0.85268116,0.083681166
0.64,0.8062098,0.16620982
0.627,0.60871994,0.01828003
0.614,0.7740233,0.16002327
0.518,0.6524044,0.13440442
0.586,0.54786277,0.038137257
0.798,0.79386497,0.0041350126
0.846,1.0825202,0.23652023
0.726,0.8694694,0.1434694
0.68,0.7182275,0.0382275
0.751,0.75826335,0.0072633624
0.915,0.92479944,0.009799421
1.191,1.1447421,0.046257854
1.519,1.5246928,0.0056927204
1.813,1.7871839,0.025816083
2.356,2.0359159,0.3200841
3.334,2.9399827,0.39401746
4.021,4.092721,0.07172108
3.938,4.204933,0.2669332
3.985,3.815025,0.1699748
4.452,3.9826567,0.46934342
4.796,4.9466715,0.15067148
5.575,4.8269644,0.74803543
5.583,6.2148676,0.6318674
5.729,5.230095,0.49890518
5.868,5.665358,0.20264196
5.982,6.051506,0.06950617
5.998,5.868739,0.12926102
5.732,5.9362345,0.2042346
5.767,5.400944,0.36605597
5.9,5.771125,0.12887526
5.87,5.9946375,0.124637604
6.632,5.6621895,0.9698105
6.984,7.468651,0.4846506
6.175,6.7511625,0.57616234
6.139,5.3253565,0.81364346
5.957,6.2699547,0.3129549
5.675,5.6671076,0.007892609
4.945,5.2911863,0.34618616
4.27,4.473336,0.20333624
3.716,3.7881353,0.07213521
3.306,3.4497838,0.14378381
3.081,3.0673552,0.013644934
2.066,3.0584877,0.99248767
1.499,1.11478,0.38422
1.241,1.7625457,0.52154565
0.939,1.187859,0.24885905
0.896,0.4687822,0.42721784
0.94,1.3609216,0.42092162
1.112,0.7612219,0.3507781
1.186,1.7456505,0.55965054
1.286,0.89384925,0.39215076
1.274,1.878462,0.6044619
1.174,0.8567591,0.31724095
1.053,1.5329236,0.4799236
0.811,0.7081572,0.10284281
0.767,0.90118206,0.13418204
0.918,0.7671217,0.15087831
1.041,1.2787595,0.23775947
0.98,1.0629337,0.082933664
0.769,1.0347211,0.26572114
0.675,0.57526445,0.09973556
0.687,0.8326678,0.14566785
0.843,0.7190734,0.12392658
0.971,1.1967523,0.2257523
1.206,1.009793,0.19620693
1.498,1.6722181,0.17421806
1.464,1.584372,0.12037206
1.436,1.407208,0.028792024
1.544,1.4616127,0.08238733
1.862,1.720268,0.14173198
2.193,2.1917238,0.0012762547
2.551,2.3851333,0.16586685
2.761,2.8801312,0.11913133
2.891,2.8105652,0.0804348
3.19,3.1396585,0.050341606
3.01,3.5928164,0.58281636
3.068,2.6922565,0.37574363
5.212,3.4101844,1.8018155
9.24,7.8494463,1.3905535
10.366,11.095896,0.7298956
5.808,10.327409,4.5194087
2.566,5.048665,2.482665
1.044,1.3672626,0.32326257
0.343,1.3660011,1.0230012
0.253,0.0,0.253
0.703,0.0,0.703
1.193,1.4865041,0.29350412
0.916,1.1983354,0.2823354
2.465,0.7130474,1.7519525
3.471,5.525747,2.0547469
2.071,3.0855145,1.0145144
1.228,1.2031099,0.024890184
1.666,1.101718,0.56428206
2.858,2.8360434,0.021956682
2.286,3.794857,1.508857
1.656,1.002807,0.653193
1.522,2.443103,0.9211031
1.763,1.505517,0.257483
2.079,1.900478,0.17852199
2.316,2.6384683,0.32246828
2.24,2.142401,0.09759903
2.449,2.322905,0.12609482
3.299,2.8577776,0.44122243
4.52,4.301967,0.21803284
5.234,5.3488483,0.11484814
5.434,5.3731785,0.060821533
5.717,5.347843,0.36915684
6.167,5.9550276,0.21197224
6.695,6.487321,0.20767927
6.913,7.049945,0.13694477
6.589,6.789857,0.20085669
