true_values,predicted_values,abs_error
0.551,0.41416925,0.13683075
1.02,0.9584974,0.061502576
1.227,1.3299756,0.10297561
1.226,1.2139177,0.012082219
1.361,1.3208945,0.040105462
1.7530000000000001,1.5132474,0.23975265
2.373,2.155704,0.21729589
2.75,2.7263172,0.023682833
2.2920000000000003,2.6400797,0.34807968
2.021,1.5994008,0.42159915
2.089,2.138637,0.04963708
1.984,1.9215025,0.062497497
1.92,1.9899302,0.069930196
2.023,1.829067,0.19393301
2.408,2.2450233,0.16297674
2.589,2.521162,0.06783795
2.445,2.4512725,0.0062725544
2.449,2.1098876,0.33911228
2.2680000000000002,2.5156543,0.24765444
2.278,1.7030951,0.57490504
2.32,2.7692757,0.44927573
2.262,1.6663885,0.5956116
2.279,2.8354497,0.55644965
2.312,1.5105811,0.8014189
2.339,3.02975,0.6907501
2.446,1.4489036,0.99709654
2.526,3.3602595,0.8342595
2.738,1.5185978,1.2194021
2.7260000000000004,3.7978008,1.0718007
1.8980000000000001,1.5043576,0.39364243
1.389,1.9223439,0.5333438
1.287,0.71912754,0.5678724
1.227,1.844815,0.617815
0.914,0.7658012,0.14819878
0.768,0.97333944,0.20533943
0.8370000000000001,0.6362712,0.20072883
0.916,1.0688694,0.15286934
0.835,0.9297334,0.09473342
0.769,0.802035,0.03303498
0.64,0.80034524,0.16034526
0.627,0.51714367,0.10985631
0.614,0.75828636,0.14428633
0.518,0.57712483,0.059124827
0.586,0.4693168,0.116683215
0.7979999999999999,0.78580964,0.012190342
0.846,0.9978918,0.15189177
0.726,0.80656135,0.08056134
0.68,0.6746637,0.0053362846
0.7509999999999999,0.731115,0.019885004
0.915,0.86618006,0.04881996
1.1909999999999998,1.1152271,0.07577288
1.5190000000000001,1.5089804,0.01001966
1.813,1.7807144,0.03228557
2.356,1.9934785,0.3625214
3.334,2.7809474,0.55305266
4.021,3.7998242,0.22117567
3.938,3.8400645,0.09793544
3.985,3.6037352,0.3812647
4.452,3.7097087,0.74229145
4.796,4.750644,0.045355797
5.575,4.66833,0.9066696
5.582999999999998,6.3376412,0.75464106
5.729,5.817763,0.08876276
5.8679999999999986,6.9617357,1.0937357
5.982,7.484706,1.502706
5.997999999999998,8.330222,2.332222
5.732,9.134784,3.4027839
5.767,9.774547,4.0075464
5.9,10.357829,4.457829
5.87,10.960803,5.090803
6.6320000000000014,11.66068,5.02868
6.984,12.68697,5.7029696
6.175,13.608173,7.433173
6.1389999999999985,14.486621,8.347621
5.957000000000002,15.474255,9.517255
5.675,16.465471,10.790471
4.945,17.459549,12.514549
4.2700000000000005,18.455818,14.185818
3.716,19.472876,15.756876
3.306,20.528587,17.222588
3.0810000000000004,21.60608,18.52508
2.066,22.664417,20.598417
1.499,23.941534,22.442533
1.241,24.980726,23.739727
0.9390000000000001,26.018166,25.079166
0.8959999999999999,27.00933,26.11333
0.94,28.008926,27.068926
1.112,29.030214,27.918215
1.186,30.077642,28.891642
1.286,31.111933,29.825933
1.274,32.1427,30.8687
1.1740000000000002,33.16014,31.986141
1.053,34.160397,33.107395
0.8109999999999999,35.145355,34.334354
0.767,36.08188,35.31488
0.918,37.0497,36.131702
1.041,38.092373,37.051373
0.98,39.141335,38.161335
0.769,40.1378,39.368797
0.675,41.06738,40.39238
0.687,42.00657,41.31957
0.843,42.988842,42.145844
0.971,44.045475,43.074474
1.206,45.107403,43.9014
1.4980000000000002,46.193016,44.695015
1.464,47.27105,45.80705
1.436,48.276093,46.84009
1.544,49.271656,47.727657
1.862,50.289635,48.427635
2.193,51.33391,49.14091
2.551,52.36301,49.81201
2.761,53.37691,50.61591
2.891,54.381,51.49
3.19,55.384087,52.194088
3.01,56.380142,53.370144
3.068,57.392033,54.32403
5.2120000000000015,58.39491,53.182907
9.24,59.021744,49.781746
10.366,59.44971,49.08371
5.808,60.44747,54.639473
2.5660000000000003,62.292995,59.726997
1.044,63.39632,62.35232
0.343,64.13032,63.78732
0.253,64.734085,64.48109
0.7030000000000001,65.5448,64.8418
1.193,66.71082,65.51782
0.916,68.00702,67.09102
2.465,68.95016,66.48516
3.471,70.36282,66.89182
2.071,71.42291,69.35191
1.228,72.34263,71.11463
1.666,73.12044,71.45444
2.858,74.220055,71.36205
2.286,75.400925,73.11492
1.656,76.35842,74.70242
1.5219999999999998,77.23171,75.70971
1.7630000000000001,78.16697,76.40397
2.079,79.224304,77.1453
2.316,80.29981,77.98381
2.24,81.341934,79.10194
2.449,82.33013,79.881134
3.299,83.35577,80.05676
4.5200000000000005,84.4177,79.897705
5.234,85.43595,80.20195
5.434,86.432465,80.99847
5.7170000000000005,87.431305,81.7143
6.167000000000002,88.42806,82.26106
6.695,89.41799,82.72299
6.9129999999999985,90.39605,83.48305
6.589,91.38945,84.80045
6.151,92.41554,86.26454
5.9620000000000015,93.43059,87.46859
5.968,94.43486,88.46686
6.0840000000000005,95.43597,89.35197
6.311,96.4359,90.1249
6.6400000000000015,97.43446,90.794464
7.067,98.43086,91.36386
7.415,99.422806,92.007805
7.694,100.413765,92.719765
7.72,101.40523,93.68523
7.894,102.41006,94.51606
7.987999999999999,103.40587,95.41787
7.7429999999999986,104.406685,96.66368
7.444,105.42199,97.97799
7.426,106.431725,99.00572
7.364,107.43361,100.06961
7.415,108.43587,101.02087
7.65,109.43646,101.78646
7.815,110.434814,102.61981
8.19,111.433945,103.24394
8.381,112.42879,104.04779
8.451,113.42676,104.97575
8.599,114.42769,105.82869
8.746,115.42648,106.68048
8.798,116.4253,107.627304
8.501,117.42675,108.92575
8.202,118.434654,110.23265
7.947,119.43886,111.49186
7.445,120.440956,112.99596
7.112,121.44262,114.33062
7.0840000000000005,122.44307,115.35907
7.127000000000002,123.44315,116.316154
6.995,124.4432,117.4482
6.282,125.44326,119.16126
5.992000000000001,126.44275,120.45075
6.062,127.44211,121.38011
6.122999999999998,128.44223,122.31923
6.205,129.44232,123.23732
6.039,130.44246,124.40346
5.9620000000000015,131.44199,125.47999
6.567,132.44164,125.87463
7.308,133.44296,126.134964
8.38,134.44348,126.063484
9.009,135.44331,126.43431
9.536,136.44272,126.906715
9.216000000000001,137.44165,128.22565
5.432,138.44272,133.01071
1.857,139.43694,137.57994
0.28800000000000003,139.72572,139.43773
2.1710000000000003,140.43013,138.25912
6.3100000000000005,141.68254,135.37254
8.627,143.44064,134.81364
9.68,144.44366,134.76367
10.885,145.4431,134.5581
5.92,146.43953,140.51953
3.014,147.43948,144.42548
3.262,148.0956,144.8336
3.4160000000000004,149.1282,145.7122
2.975,150.17555,147.20055
2.202,151.01004,148.80804
2.22,151.68288,149.46288
3.108,152.64374,149.53574
4.0840000000000005,153.9485,149.8645
5.9030000000000005,155.29799,149.39499
7.532999999999999,156.4366,148.9036
7.57,157.44337,149.87337
7.252999999999999,158.44339,151.19038
6.148,159.44304,153.29504
4.378,160.43858,156.06058
4.36,161.3522,156.9922
5.314,162.34106,157.02707
4.65,163.41919,158.7692
3.625,164.37445,160.74945
2.6660000000000004,165.14351,162.47751
1.93,165.72687,163.79688
1.598,166.52106,164.92305
1.629,167.47937,165.85037
1.544,168.47862,166.93462
1.5190000000000001,169.47166,167.95267
1.344,170.46881,169.12482
0.789,171.45918,170.67018
0.493,172.44067,171.94768
0.38,173.43343,173.05342
0.47200000000000003,174.43085,173.95885
0.35600000000000004,175.433,175.077
0.16,176.43094,176.27094
0.07100000000000001,177.42722,177.35622
0.036000000000000004,178.42572,178.38972
0.003,179.4254,179.4224
0.0,180.42519,180.42519
0.002,181.42561,181.42361
0.009000000000000001,182.42616,182.41716
0.0,183.42677,183.42677
0.0,184.42706,184.42706
0.0,185.42752,185.42752
0.0,186.42795,186.42795
0.0,187.42839,187.42839
0.0,188.4288,188.4288
0.0,189.42921,189.42921
0.0,190.42961,190.42961
0.0,191.42998,191.42998
0.0,192.43036,192.43036
