true_values,predicted_values,abs_error
0.198,0.2237649,0.00066382997
0.551,0.38025856,0.02915264
1.02,0.78383875,0.055772126
1.227,1.2934687,0.00441809
1.226,1.2608688,0.0012158358
1.361,1.1665876,0.037796162
1.753,1.3961289,0.127357
2.373,1.9803628,0.15416391
2.75,2.7231941,0.00071855506
2.292,2.808657,0.26693434
2.021,1.9328606,0.0077685355
2.089,1.9209228,0.028249955
1.984,2.0626135,0.0061800857
1.92,1.83009,0.008083792
2.023,1.8520327,0.029229831
2.408,2.029158,0.14352117
2.589,2.6314425,0.0018013709
2.445,2.539226,0.008878562
2.449,2.3098001,0.019376567
2.268,2.4276795,0.025497591
2.278,2.0547845,0.049825195
2.32,2.3087935,0.00012558314
2.262,2.2290692,0.001084441
2.279,2.1858373,0.008679302
2.312,2.2331896,0.0062110876
2.339,2.2670107,0.005182459
2.446,2.2930295,0.02339999
2.526,2.4610202,0.0042223735
2.738,2.4904733,0.06126944
2.726,2.8318098,0.01119569
1.898,2.5892727,0.477858
1.389,1.425106,0.0013036425
1.287,1.1728518,0.013029798
1.227,1.1928453,0.0011665403
0.914,1.1543896,0.05778718
0.768,0.78745055,0.00037832372
0.837,0.73437905,0.010531061
0.916,0.87356377,0.0018008347
0.835,0.94809914,0.012791419
0.769,0.8092015,0.0016161595
0.64,0.76293087,0.015112002
0.627,0.6479063,0.0004370746
0.614,0.6715946,0.0033171377
0.518,0.6656189,0.021791337
0.586,0.57083035,0.0002301192
0.798,0.66756797,0.017012509
0.846,0.91316056,0.004510539
0.726,0.8725016,0.02146272
0.68,0.7137246,0.001137349
0.751,0.70056176,0.0025440145
0.915,0.8034599,0.012441203
1.191,0.9926641,0.039337125
1.519,1.3218873,0.038853455
1.813,1.6653657,0.021795876
2.356,1.9124182,0.19676472
3.334,2.6932755,0.4105281
4.021,3.8852592,0.018425554
3.938,4.1692066,0.05345652
3.985,3.7428207,0.058650743
4.452,3.998016,0.20610149
4.796,4.600396,0.038260866
5.575,4.784333,0.62515366
5.583,5.9092865,0.10646276
5.729,5.191117,0.2893184
5.868,5.7705746,0.00949172
5.982,5.605257,0.14193517
5.998,5.8849764,0.01277437
5.732,5.7219524,0.000100950965
5.767,5.4085774,0.12846687
5.9,5.6563807,0.05935043
5.87,5.7241135,0.021282848
6.632,5.633694,0.99661446
6.984,6.9500637,0.0011516861
6.175,6.6815248,0.25656712
6.139,5.4851456,0.42752555
5.957,6.1495733,0.037084572
5.675,5.478874,0.038465403
4.945,5.466951,0.27243257
4.27,4.402875,0.017655756
3.716,4.0166783,0.09040741
3.306,3.3893352,0.006944749
3.081,3.1308594,0.0024859484
2.066,2.9254901,0.73872334
1.499,1.5093272,0.000106651474
1.241,1.2882521,0.0022327572
0.939,1.0614252,0.014987929
