true_values,predicted_values,abs_error
0.198,0.0,0.198
0.551,0.28972304,0.26127696
1.02,0.9135104,0.1064896
1.227,1.3812361,0.15423608
1.226,1.3521001,0.12610018
1.361,1.250296,0.110703945
1.753,1.4756105,0.27738953
2.373,2.0064416,0.3665583
2.75,2.7337065,0.016293526
2.292,2.9399073,0.64790726
2.021,2.063211,0.042211056
2.089,1.9084872,0.18051279
1.984,2.1374016,0.15340161
1.92,1.9317544,0.011754394
2.023,1.8923451,0.13065493
2.408,2.081636,0.32636404
2.589,2.6213841,0.032384157
2.445,2.6617222,0.21672225
2.449,2.3517957,0.09720421
2.268,2.4562578,0.18825793
2.278,2.1723132,0.1056869
2.32,2.2905917,0.029408216
2.262,2.336998,0.0749979
2.279,2.2258215,0.05317855
2.312,2.287037,0.02496314
2.339,2.323872,0.015127897
2.446,2.3462756,0.09972453
2.526,2.4963722,0.0296278
2.738,2.5542583,0.18374157
2.726,2.8449454,0.11894536
1.898,2.6867638,0.78876376
1.389,1.5514299,0.16242981
1.287,1.1928277,0.09417224
1.227,1.2622588,0.03525877
0.914,1.2226439,0.30864388
0.768,0.7581818,0.009818196
0.837,0.74901724,0.087982774
0.916,0.96057725,0.04457724
0.835,1.009181,0.17418104
0.769,0.80703104,0.03803104
0.64,0.7748625,0.13486254
0.627,0.5861552,0.040844798
0.614,0.68109167,0.067091644
0.518,0.6366229,0.1186229
0.586,0.45754874,0.12845129
0.798,0.70236707,0.09563291
0.846,1.0026176,0.15661758
0.726,0.88715184,0.16115183
0.68,0.6654613,0.014538705
0.751,0.7064645,0.044535458
0.915,0.85969096,0.055309057
1.191,1.0753351,0.11566484
1.519,1.4135354,0.1054647
1.813,1.7405682,0.0724318
2.356,1.9885558,0.36744416
3.334,2.6682184,0.66578174
4.021,4.007309,0.0136909485
3.938,4.34144,0.40344024
3.985,3.6467204,0.3382795
4.452,3.9579263,0.49407387
4.796,4.74327,0.052730083
5.575,4.8430557,0.7319441
5.583,6.147222,0.56422186
5.729,5.2054496,0.5235505
5.868,5.6747465,0.19325352
5.982,5.772038,0.20996189
5.998,5.8561273,0.14187288
5.732,5.7815814,0.049581528
5.767,5.3133764,0.45362377
5.9,5.6481485,0.25185156
5.87,5.8178806,0.052119255
6.632,5.6168804,1.0151196
6.984,7.2729435,0.2889433
6.175,6.9167447,0.7417445
6.139,5.274415,0.8645849
5.957,5.9850082,0.028008461
5.675,5.5933805,0.08161974
4.945,5.2813787,0.33637857
4.27,4.36926,0.09925985
3.716,3.876053,0.16005301
3.306,3.43429,0.12828994
3.081,3.112792,0.031791925
2.066,2.9808364,0.9148364
1.499,1.6639895,0.16498959
1.241,1.3077202,0.06672013
0.939,1.1350167,0.19601667
0.896,0.8027058,0.0932942
0.94,0.94480634,0.0048063397
1.112,1.0219643,0.09003568
1.186,1.2726371,0.08663714
1.286,1.2609463,0.02505374
1.274,1.3797529,0.105752826
1.174,1.2943997,0.12039971
1.053,1.1451626,0.09216261
0.811,1.0180693,0.20706928
0.767,0.6995485,0.06745154
0.918,0.8179346,0.10006541
1.041,1.0874759,0.046475887
0.98,1.1548768,0.17487681
0.769,0.9681254,0.19912541
0.675,0.6679752,0.0070248246
0.687,0.6813867,0.0056132674
0.843,0.75597656,0.08702344
0.971,1.0101724,0.03917235
1.206,1.0879192,0.118080735
1.498,1.3997422,0.09825778
1.464,1.6999754,0.23597538
1.436,1.4660726,0.03007257
1.544,1.4408064,0.10319364
1.862,1.6262894,0.23571062
2.193,2.055584,0.13741612
2.551,2.3732684,0.17773175
2.761,2.7377532,0.023246765
2.891,2.8450089,0.045991182
3.19,2.930036,0.259964
3.01,3.347509,0.33750892
3.068,2.8472328,0.22076726
5.212,3.1077685,2.1042314
9.24,7.6044855,1.6355143
10.366,12.093827,1.7278271
5.808,9.547333,3.7393327
2.566,4.2847385,1.7187386
1.044,2.7629857,1.7189857
0.343,0.9851161,0.6421161
0.253,0.044911146,0.20808885
0.703,0.364079,0.338921
1.193,1.2338648,0.040864825
0.916,1.5316087,0.6156087
2.465,0.7356502,1.7293497
3.471,3.6514325,0.18043256
2.071,4.1335173,2.0625172
1.228,1.7168308,0.4888308
1.666,1.0527793,0.6132207
2.858,2.0022407,0.8557594
2.286,3.6488605,1.3628604
1.656,2.0965946,0.44059455
1.522,1.3937528,0.12824714
1.763,1.4789433,0.28405666
2.079,1.9163259,0.16267407
2.316,2.2560143,0.059985638
2.24,2.4346695,0.19466949
2.449,2.1901622,0.2588377
3.299,2.5660584,0.7329416
4.52,3.8812041,0.63879585
5.234,5.470722,0.23672199
5.434,5.2336235,0.20037651
5.717,5.2464104,0.47058964
6.167,5.7620716,0.4049282
6.695,6.362518,0.33248234
6.913,6.926736,0.013735771
6.589,6.763527,0.17452669
6.151,6.00531,0.14568996
5.962,5.6000586,0.36194134
5.968,5.648481,0.31951904
6.084,5.7952833,0.2887168
6.311,5.978477,0.33252287
6.64,6.287009,0.3529911
7.067,6.6904674,0.37653255
7.415,7.193353,0.22164679
7.694,7.417615,0.27638483
7.72,7.6262383,0.093761444
7.894,7.3906803,0.50331974
7.988,7.75147,0.23652983
7.743,7.740258,0.0027418137
7.444,7.173061,0.27093887
7.426,6.871041,0.5549593
7.364,7.133014,0.23098564
7.415,6.996853,0.4181471
7.65,7.166645,0.48335505
7.815,7.5783052,0.23669481
8.19,7.6365194,0.55348015
8.381,8.255295,0.12570477
8.451,8.217453,0.23354721
