true_values,predicted_values,abs_error
1.753,1.625013,0.12798703
2.373,2.2337327,0.1392672
2.75,3.0544572,0.3044572
2.2920000000000003,3.1173465,0.82534647
2.021,1.8978574,0.12314248
2.089,1.9733539,0.115646124
1.984,2.3509812,0.36698127
1.92,1.9978325,0.07783258
2.023,1.9358594,0.08714056
2.408,2.25481,0.1531899
2.589,2.8767536,0.28775358
2.445,2.8284898,0.38348985
2.449,2.3707142,0.078285694
2.268,2.5617888,0.2937889
2.278,2.245532,0.03246808
2.32,2.4097183,0.08971834
2.262,2.389267,0.12726688
2.279,2.327463,0.048462868
2.312,2.410276,0.0982759
2.339,2.4471216,0.10812163
2.4459999999999997,2.4531727,0.0071725845
2.526,2.636331,0.11033106
2.738,2.6908114,0.04718852
2.7260000000000004,3.031127,0.3051269
1.898,2.8034043,0.9054043
1.389,1.3740109,0.014989138
1.287,1.1798126,0.10718739
1.227,1.4929372,0.2659372
0.914,1.2472905,0.33329052
0.768,0.7789176,0.010917604
0.8370000000000001,0.80661815,0.030381858
0.9159999999999999,1.0252267,0.1092267
0.835,1.0598993,0.22489935
0.769,0.8341626,0.0651626
0.64,0.8308277,0.19082773
0.627,0.64665544,0.019655466
0.614,0.72533846,0.11133844
0.518,0.6943636,0.17636359
0.586,0.5477611,0.038238943
0.7979999999999999,0.731873,0.066127
0.846,1.0910225,0.24502248
0.726,0.90778697,0.18178695
0.68,0.7155629,0.035562873
0.7509999999999999,0.75462526,0.0036252737
0.915,0.9069543,0.008045733
1.1909999999999998,1.1506495,0.040350437
1.519,1.5264778,0.0074777603
1.8130000000000002,1.8470653,0.034065366
2.356,2.0944126,0.26158738
3.3339999999999996,2.9179506,0.41604948
4.021,4.429552,0.40855217
3.938,4.62382,0.68581986
3.985,3.7377338,0.24726605
4.452,4.2446012,0.20739889
4.796,5.1280155,0.3320155
5.575,5.18285,0.39214993
5.582999999999999,6.3132334,0.7302332
5.729,5.5982966,0.13070345
5.867999999999999,6.038027,0.17002678
5.982,6.217151,0.23515129
5.997999999999999,6.194459,0.19645882
5.732,6.1728454,0.4408455
5.767,5.627872,0.13912821
5.9,6.0684805,0.1684804
5.87,6.285518,0.41551828
6.6320000000000014,5.919076,0.712924
6.984,7.513561,0.52956057
6.175,7.309322,1.1343217
6.138999999999999,5.26488,0.87411976
5.957000000000001,6.665978,0.7089782
5.675,6.039706,0.36470604
4.945,5.489842,0.54484177
4.2700000000000005,4.6229353,0.3529353
3.716,3.9348035,0.2188034
3.306,3.4222963,0.11629629
3.0810000000000004,3.169724,0.0887239
2.066,3.1555407,1.0895407
1.499,1.5442517,0.045251727
1.2409999999999999,1.2207218,0.020278215
0.939,1.3363429,0.39734292
0.8959999999999999,0.84061146,0.05538857
0.94,1.03201,0.09200996
1.112,1.1007291,0.011270881
1.186,1.3958267,0.20982671
1.286,1.3076527,0.021652699
1.274,1.4965115,0.22251141
1.1740000000000002,1.3447236,0.17072356
1.053,1.2127339,0.15973389
0.8109999999999999,1.1338593,0.3228593
0.767,0.77261007,0.005610049
0.9179999999999999,0.91063166,0.007368326
1.041,1.2154865,0.17448652
0.98,1.2423182,0.26231813
0.769,1.0357043,0.26670426
0.675,0.76364714,0.08864713
0.687,0.7735677,0.0865677
0.843,0.8522372,0.00923723
0.971,1.1411487,0.17014867
1.206,1.1887181,0.01728189
1.4980000000000002,1.5743755,0.076375484
1.464,1.8711509,0.40715086
1.436,1.4610157,0.025015712
1.544,1.6076953,0.06369531
1.8619999999999999,1.8159517,0.046048284
2.193,2.2790074,0.08600736
2.551,2.550769,0.0002310276
2.761,2.95904,0.19804001
2.891,3.0576684,0.16666842
3.19,3.1192865,0.07071352
3.01,3.6307926,0.6207926
3.068,3.0200014,0.047998667
5.212000000000001,3.2936912,1.9183087
9.24,6.8351164,2.4048834
10.366,11.948912,1.5829115
5.808,9.408884,3.600884
2.5660000000000003,3.7533834,1.1873834
1.044,1.8872896,0.8432896
0.34299999999999997,0.6329905,0.28999048
0.253,0.14205396,0.11094603
0.7030000000000001,0.37972808,0.32327193
1.193,1.3240032,0.13100326
0.9159999999999999,1.684279,0.76827896
2.465,0.742401,1.7225989
3.471,4.0622244,0.59122443
2.0709999999999997,4.783714,2.7127137
1.228,1.4060255,0.17802548
1.666,0.88931954,0.77668047
2.858,2.6968048,0.16119528
2.286,3.9626877,1.6766877
1.656,2.0537424,0.3977424
1.5219999999999998,1.2068174,0.31518257
1.763,1.8670214,0.10402143
2.079,2.1791213,0.10012126
2.316,2.4484003,0.13240027
2.24,2.6402767,0.40027666
2.449,2.3054068,0.14359307
3.299,2.8041153,0.49488473
