true_values,predicted_values,abs_error
1.361,1.3857695,0.024769545
1.753,1.5015616,0.25143838
2.373,2.4706578,0.09765792
2.75,2.6425018,0.10749817
2.2920000000000003,3.1316152,0.8396151
2.021,1.9969985,0.02400136
2.089,2.0194387,0.06956124
1.984,2.263914,0.27991414
1.92,1.8929318,0.027068138
2.023,1.9673147,0.05568528
2.408,2.1996408,0.20835924
2.589,2.7987552,0.20975518
2.445,2.5673668,0.122366905
2.449,2.338138,0.11086178
2.268,2.6393461,0.37134624
2.278,2.157018,0.12098217
2.32,2.4618301,0.1418302
2.262,2.4190536,0.15705347
2.279,2.2232256,0.05577445
2.312,2.4450703,0.13307023
2.339,2.3782868,0.039286852
2.4459999999999997,2.3988488,0.047151327
2.526,2.6444354,0.11843538
2.738,2.5755491,0.16245079
2.7260000000000004,3.1130702,0.38707018
1.898,2.6328669,0.73486686
1.389,1.6028082,0.21380818
1.287,1.2897655,0.0027655363
1.227,1.4355505,0.20855045
0.914,1.1272204,0.21322042
0.768,0.5693526,0.19864738
0.8370000000000001,0.67917687,0.15782315
0.9159999999999999,0.9382589,0.022258878
0.835,0.8974514,0.062451422
0.769,0.6810323,0.087967694
0.64,0.6833546,0.04335463
0.627,0.50834835,0.11865163
0.614,0.6242826,0.010282576
0.518,0.5609903,0.042990267
0.586,0.45911753,0.1268825
0.7979999999999999,0.6105277,0.18747228
0.846,1.0055358,0.15953583
0.726,0.7870934,0.06109339
0.68,0.53394675,0.14605325
0.7509999999999999,0.6292409,0.12175912
0.915,0.8452755,0.0697245
1.1909999999999998,1.0169077,0.1740923
1.519,1.5527152,0.03371513
1.8130000000000002,1.8538165,0.040816545
2.356,2.0856318,0.2703681
3.3339999999999996,2.9978433,0.33615685
4.021,3.9708643,0.050135612
3.938,4.441844,0.503844
3.985,3.8467128,0.13828707
4.452,4.0094156,0.4425845
4.796,5.010333,0.21433306
5.575,5.119964,0.4550357
5.582999999999999,6.0947495,0.51174927
5.729,5.5136747,0.21532536
5.867999999999999,5.8561645,0.011835575
5.982,5.9716883,0.010311604
5.997999999999999,6.0447264,0.046726227
5.732,5.991795,0.2597952
5.767,5.5741453,0.19285488
5.9,5.839415,0.060585022
5.87,6.062504,0.19250393
6.6320000000000014,5.878001,0.75399876
6.984,7.3477235,0.36372328
