true_values,predicted_values,abs_error
1.753,1.3078408,0.4451592
2.373,1.8081357,0.56486416
2.75,2.7766228,0.026622772
2.2920000000000003,2.9544368,0.6624367
2.021,2.1569433,0.13594341
2.089,2.0069475,0.08205247
1.984,2.1243753,0.14037538
1.92,1.9639974,0.043997407
2.023,1.9023361,0.12066388
2.408,2.0538683,0.3541317
2.589,2.559984,0.029016018
2.445,2.6212819,0.17628193
2.449,2.3897574,0.059242487
2.268,2.4684808,0.20048094
2.278,2.2164767,0.061523438
2.32,2.297978,0.022022009
2.262,2.229559,0.03244114
2.279,2.1799,0.09910011
2.312,2.223677,0.08832312
2.339,2.254744,0.084255934
2.4459999999999997,2.27836,0.16764021
2.526,2.4308197,0.09518027
2.738,2.494267,0.24373293
2.7260000000000004,2.7976923,0.07169223
1.898,2.643482,0.74548197
1.389,1.655922,0.266922
1.287,1.2041752,0.08282471
1.227,1.1967919,0.03020811
0.914,1.1050743,0.19107431
0.768,0.77294064,0.004940629
0.8370000000000001,0.7000934,0.13690662
0.9159999999999999,0.8088523,0.10714769
0.835,0.86382127,0.02882129
0.769,0.72353184,0.04546815
0.64,0.67488337,0.03488338
0.627,0.5455749,0.08142507
0.614,0.5779866,0.036013424
0.518,0.54806805,0.03006804
0.586,0.46086216,0.12513787
0.7979999999999999,0.5664085,0.23159146
0.846,0.76843476,0.07756525
0.726,0.74118173,0.01518172
0.68,0.6191205,0.06087953
0.7509999999999999,0.6056249,0.14537507
0.915,0.6888541,0.22614592
1.1909999999999998,0.848138,0.342862
1.519,1.105724,0.41327608
1.8130000000000002,1.4006641,0.41233587
2.356,1.7148948,0.6411052
3.3339999999999996,2.5925608,0.74143934
4.021,4.1440883,0.12308836
3.938,4.1873846,0.24938464
3.985,3.6770086,0.30799127
4.452,4.0137997,0.43820047
4.796,4.5939612,0.20203876
5.575,4.7646756,0.8103242
5.582999999999999,5.7919807,0.20898056
5.729,5.287832,0.4411683
5.867999999999999,5.46603,0.4019699
5.982,5.713259,0.26874065
5.997999999999999,5.7214847,0.27651548
5.732,5.680088,0.05191183
5.767,5.3146048,0.45239544
5.9,5.5343037,0.36569643
5.87,5.720994,0.14900589
6.6320000000000014,5.5743337,1.0576663
6.984,6.647673,0.33632708
6.175,6.7881637,0.6131635
6.138999999999999,5.4120474,0.72695255
5.957000000000001,5.850062,0.106937885
5.675,5.7112994,0.03629923
4.945,5.2065935,0.26159334
4.2700000000000005,4.3856974,0.115697384
3.716,3.9163098,0.20030975
3.306,3.4462311,0.14023113
3.0810000000000004,3.131434,0.050433874
2.066,2.987321,0.9213209
1.499,1.7757592,0.27675927
1.2409999999999999,1.2516329,0.010632873
0.939,1.0985228,0.15952277
0.8959999999999999,0.79509366,0.10090637
0.94,0.83505476,0.10494524
1.112,0.87625706,0.23574293
1.186,1.0749481,0.11105192
1.286,1.0700743,0.2159257
1.274,1.165149,0.108851075
1.1740000000000002,1.0720956,0.10190439
