true_values,predicted_values,abs_error
0.551,0.31099987,0.24000013
1.02,1.1156693,0.09566927
1.227,1.9290226,0.70202255
1.226,1.5328149,0.3068149
1.361,1.5498171,0.18881714
1.7530000000000001,1.9222846,0.16928458
2.373,2.522877,0.14987707
2.75,3.351931,0.6019311
2.2920000000000003,3.4316578,1.1396577
2.021,2.3447778,0.3237779
2.089,2.467244,0.37824392
1.984,2.721242,0.737242
1.92,2.2962296,0.37622964
2.023,2.4015899,0.37858987
2.408,2.6269102,0.21891022
2.589,3.2878528,0.6988528
2.445,3.154861,0.70986104
2.449,2.856654,0.40765405
2.2680000000000002,3.0785856,0.81058574
2.278,2.595171,0.31717086
2.32,2.9270496,0.6070497
2.262,2.8505144,0.5885143
2.279,2.7341104,0.4551103
2.312,2.8558366,0.5438366
2.339,2.8626707,0.5236707
2.446,2.8981173,0.4521172
2.526,3.0988598,0.57285976
2.738,3.121242,0.38324213
2.7260000000000004,3.5219417,0.7959416
1.8980000000000001,3.2051294,1.3071294
1.389,1.66434,0.27533996
1.287,1.6096742,0.32267427
1.227,1.7048061,0.4778061
0.914,1.5278214,0.61382145
0.768,0.9542029,0.18620288
0.8370000000000001,0.9977807,0.16078067
0.916,1.2324916,0.3164916
0.835,1.2868315,0.45183152
0.769,1.0186372,0.24963719
0.64,1.0088737,0.36887372
0.627,0.7610853,0.1340853
0.614,0.8708335,0.2568335
0.518,0.81800723,0.30000722
0.586,0.6225797,0.03657967
0.7979999999999999,0.8811568,0.083156824
0.846,1.3196713,0.47367126
0.726,1.117598,0.39159805
0.68,0.86408675,0.18408674
0.7509999999999999,0.9155265,0.16452652
0.915,1.1039115,0.1889115
1.1909999999999998,1.395481,0.204481
1.5190000000000001,1.7960932,0.27709317
1.813,2.1466198,0.33361983
2.356,2.4278042,0.071804285
3.334,3.3456593,0.011659145
4.021,4.6301804,0.60918045
3.938,4.8288784,0.89087844
3.985,4.396353,0.41135287
4.452,4.741767,0.2897668
4.796,5.3694077,0.57340765
5.575,5.480259,0.09474087
5.582999999999998,6.616193,1.0331926
5.729,5.8583784,0.12937832
5.8679999999999986,6.407465,0.53946495
5.982,6.439192,0.45719194
5.997999999999998,6.4784346,0.48043442
5.732,6.495636,0.7636361
5.767,6.0290227,0.2620225
5.9,6.4018507,0.5018506
5.87,6.4676924,0.5976925
6.6320000000000014,6.276415,0.3555851
6.984,7.6924944,0.7084942
6.175,7.381873,1.2068729
6.1389999999999985,5.8949585,0.24404144
5.957000000000002,6.99963,1.0426302
5.675,6.2048397,0.5298395
4.945,6.010299,1.065299
4.2700000000000005,5.087837,0.81783724
3.716,4.6787014,0.9627013
3.306,4.01661,0.71061015
3.0810000000000004,3.822034,0.7410338
2.066,3.5687337,1.5027337
1.499,1.7604892,0.26148927
1.241,1.7314165,0.4904164
0.9390000000000001,1.5061241,0.5671241
