true_values,predicted_values,abs_error
1.753,1.632802,0.12019801
2.373,2.2365024,0.1364975
2.75,3.2550774,0.50507736
2.2920000000000003,3.3143547,1.0223546
2.021,2.3510907,0.33009076
2.089,1.8866737,0.2023263
1.984,2.51194,0.52794003
1.92,2.0738592,0.15385926
2.023,1.9355445,0.08745551
2.408,2.2573473,0.15065265
2.589,2.9558997,0.36689973
2.445,2.8444571,0.39945722
2.449,2.5044832,0.05548334
2.268,2.6372335,0.3692336
2.278,2.3400383,0.062038183
2.32,2.460336,0.14033604
2.262,2.452824,0.19082403
2.279,2.3534076,0.07440758
2.312,2.4073546,0.09535456
2.339,2.4687328,0.12973285
2.4459999999999997,2.4910798,0.045079708
2.526,2.6761055,0.15010548
2.738,2.7319503,0.006049633
2.7260000000000004,3.0789056,0.3529055
1.898,2.8876414,0.9896414
1.389,1.4749475,0.085947394
1.287,1.1707025,0.11629748
1.227,1.3972301,0.17023015
0.914,1.131141,0.21714097
0.768,0.75968516,0.008314848
0.8370000000000001,0.7701896,0.06681043
0.9159999999999999,0.89625216,0.019747853
0.835,0.9278296,0.092829645
0.769,0.7700459,0.0010458827
0.64,0.7573362,0.11733621
0.627,0.6137367,0.013263285
0.614,0.65445155,0.040451527
0.518,0.63040775,0.112407744
0.586,0.50222147,0.08377856
0.7979999999999999,0.65446144,0.14353853
0.846,0.92525643,0.079256415
0.726,0.8148767,0.088876665
0.68,0.65006804,0.029931962
0.7509999999999999,0.6887761,0.06222391
0.915,0.794906,0.120094
1.1909999999999998,0.97847337,0.21252662
1.519,1.3169775,0.20202255
1.8130000000000002,1.6797026,0.13329732
2.356,2.0152416,0.34075832
3.3339999999999996,2.988998,0.34500217
4.021,4.3666487,0.34564877
3.938,4.407361,0.46936107
3.985,3.8208659,0.16413403
4.452,4.2927647,0.15923548
4.796,4.901305,0.105305195
5.575,4.897135,0.677865
5.582999999999999,5.986115,0.4031148
5.729,5.3297625,0.39923763
5.867999999999999,5.674872,0.19312811
5.982,5.994565,0.012565136
5.997999999999999,5.645908,0.35209227
5.732,6.014696,0.28269625
5.767,5.267007,0.49999332
5.9,5.7871537,0.112846375
5.87,5.946546,0.07654619
6.6320000000000014,5.507004,1.1249962
6.984,6.8466406,0.13735962
6.175,6.6504,0.47539997
6.138999999999999,5.448933,0.6900668
5.957000000000001,6.1044335,0.14743376
5.675,5.710223,0.035223007
4.945,5.2630367,0.31803656
4.2700000000000005,4.6473713,0.3773713
3.716,4.0972004,0.3812003
3.306,3.6561134,0.3501134
3.0810000000000004,3.3248317,0.24383163
2.066,3.2299612,1.1639612
1.499,1.7624657,0.26346576
1.2409999999999999,1.2429159,0.0019158125
0.939,1.3030634,0.36406338
0.8959999999999999,0.884383,0.011617005
0.94,0.959245,0.019245028
1.112,1.0085437,0.10345626
1.186,1.2240344,0.03803444
1.286,1.1951425,0.090857506
1.274,1.3485022,0.07450211
1.1740000000000002,1.2410072,0.067007184
1.053,1.122273,0.069272995
0.8109999999999999,1.0415599,0.23055995
0.767,0.7639093,0.0030907393
0.9179999999999999,0.82289815,0.09510183
1.041,1.046027,0.0050269365
0.98,1.0896227,0.10962272
0.769,0.92581666,0.15681666
0.675,0.7179373,0.04293728
0.687,0.70911175,0.022111773
0.843,0.75088763,0.09211236
0.971,0.96058744,0.010412574
1.206,1.0251036,0.1808964
1.4980000000000002,1.3496807,0.14831936
1.464,1.7054487,0.24144876
1.436,1.4064593,0.029540658
1.544,1.4475967,0.09640336
1.8619999999999999,1.7096795,0.1523205
2.193,2.2673995,0.07439947
2.551,2.5873497,0.036349535
2.761,2.9864545,0.22545457
2.891,3.0873778,0.19637775
3.19,3.1764417,0.013558388
3.01,3.6325665,0.62256646
3.068,3.156588,0.088588
5.212000000000001,3.2973306,1.9146693
9.24,6.2645516,2.9754481
10.366,12.661642,2.295642
5.808,9.922773,4.1147733
2.5660000000000003,4.265452,1.6994519
1.044,2.5921934,1.5481933
0.34299999999999997,0.8071817,0.46418172
0.253,0.5943684,0.3413684
0.7030000000000001,0.4612763,0.24172372
1.193,1.145544,0.047455907
0.9159999999999999,1.5491979,0.6331979
2.465,0.822402,1.6425979
3.471,3.9308898,0.4598899
2.0709999999999997,4.490591,2.419591
1.228,2.1740146,0.9460145
1.666,0.8687928,0.79720724
2.858,2.5800226,0.27797747
2.286,4.1035767,1.8175766
1.656,2.5471554,0.89115536
1.5219999999999998,1.2136266,0.30837333
1.763,1.8618848,0.09888482
2.079,2.077888,0.0011119843
2.316,2.438537,0.1225369
2.24,2.6121774,0.37217736
2.449,2.3277373,0.12126255
3.299,2.8827775,0.41622257
4.5200000000000005,4.2913027,0.2286973
5.234,5.349326,0.11532593
5.434,5.288418,0.1455822
5.7170000000000005,5.474418,0.24258184
6.167000000000001,5.812939,0.35406065
6.695,6.154203,0.54079723
6.912999999999999,6.585003,0.3279972
6.5889999999999995,6.551819,0.037181377
6.151,6.1679387,0.016938686
5.962000000000001,5.8055587,0.15644121
5.968,5.801241,0.16675901
6.0840000000000005,5.834281,0.24971914
6.311,5.9943447,0.31665516
6.6400000000000015,6.1835184,0.45648146
7.067,6.4635196,0.60348034
7.415,6.8068147,0.6081853
7.694,7.039941,0.65405893
7.72,7.299331,0.4206686
7.894,7.1666903,0.7273097
7.9879999999999995,7.5480886,0.43991137
7.742999999999999,7.4083247,0.3346753
7.444,7.196257,0.24774265
7.426,6.82576,0.60024023
7.364,6.926256,0.43774366
7.415,6.7976203,0.61737967
7.65,6.983497,0.66650295
7.815,7.1624904,0.6525097
8.19,7.346304,0.84369564
8.381,7.8576846,0.52331495
8.451,7.8816185,0.5693817
8.599,8.001673,0.59732723
8.746,8.190775,0.5552254
8.798,8.408531,0.38946915
8.501,8.344048,0.15695286
8.202,7.7824645,0.41953516
7.947,7.62953,0.31747007
7.445,7.2438893,0.20111084
7.112,6.7996244,0.31237555
7.0840000000000005,6.5842795,0.49972057
7.127000000000001,6.694231,0.43276882
6.995,6.680261,0.31473875
6.282,6.546765,0.2647648
5.992000000000001,5.684356,0.3076439
6.062,5.8544474,0.20755243
6.122999999999999,5.9171605,0.20583963
6.205,5.9345517,0.2704482
6.039,6.0400653,0.0010652542
5.962000000000001,5.68866,0.27333975
6.567,5.845339,0.7216611
7.308,6.4954834,0.8125167
8.38,7.073419,1.306581
9.009,8.648403,0.36059666
9.536,8.857983,0.6780176
9.216,9.880676,0.66467667
5.432,8.374453,2.9424524
1.857,4.201354,2.3443542
0.28800000000000003,1.8728304,1.5848304
2.1710000000000003,0.337156,1.833844
6.3100000000000005,3.4072695,2.9027305
8.627,8.563757,0.06324291
9.68,8.020462,1.6595383
10.885,10.50824,0.37676048
5.92,11.6480255,5.7280254
3.014,4.096251,1.0822511
3.262,2.8481746,0.4138255
3.4160000000000004,3.65156,0.23556018
2.975,3.9373221,0.96232224
2.202,2.9059021,0.70390224
2.22,1.7342104,0.48578966
3.108,2.6013122,0.5066879
4.0840000000000005,4.23049,0.1464901
5.9030000000000005,4.5602937,1.3427062
7.5329999999999995,6.1755,1.3575001
7.57,7.584484,0.014483929
7.252999999999999,6.582981,0.6700187
6.148,6.8222733,0.6742735
4.378,4.9654927,0.58749294
4.36,4.072587,0.28741312
5.314,4.4620895,0.8519106
4.65,5.7265644,1.0765643
3.625,4.098127,0.4731269
2.6660000000000004,3.296234,0.630234
1.93,2.680472,0.75047195
1.598,1.6210573,0.023057222
1.629,1.4016314,0.2273686
1.544,1.7218833,0.17788327
1.519,1.395268,0.12373209
1.344,1.48787,0.14387
0.789,1.1912639,0.40226394
0.493,0.67918164,0.18618163
0.38,0.5356314,0.15563142
0.472,0.50456923,0.03256923
0.35600000000000004,0.65531963,0.29931962
0.16,0.41925806,0.25925806
0.07100000000000001,0.14908206,0.07808206
0.036000000000000004,0.0,0.036
0.003,0.0,0.003
0.0,0.0,0.0
0.002,0.0,0.002
0.009000000000000001,0.0,0.009
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.009000000000000001,0.0,0.009
0.027000000000000003,0.0,0.027
0.040999999999999995,0.0,0.041
0.122,0.0,0.122
0.6609999999999999,0.1578542,0.5031458
0.9279999999999999,1.0597105,0.13171053
1.27,0.9691708,0.30082917
1.232,1.419529,0.18752897
0.675,1.0997188,0.4247188
0.206,0.46288133,0.25688133
0.06,0.07957518,0.019575182
0.048,0.0,0.048
0.042,0.0,0.042
0.054000000000000006,0.0,0.054
0.09300000000000001,0.0,0.093
0.391,0.07574773,0.31525227
0.517,0.5978728,0.080872774
0.451,0.56463367,0.11363366
0.366,0.42886508,0.06286508
0.307,0.3592658,0.052265793
0.17,0.31058884,0.14058883
0.07400000000000001,0.0917685,0.017768502
0.187,0.0,0.187
0.7040000000000001,0.30185425,0.40214574
0.621,1.102793,0.481793
0.5710000000000001,0.5231388,0.04786116
0.6859999999999999,0.5709181,0.11508191
0.08,0.7493422,0.6693422
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.001,0.0,0.001
0.018000000000000002,0.0,0.018
0.027000000000000003,0.0,0.027
0.042,0.0,0.042
0.08600000000000001,0.0,0.086
0.42700000000000005,0.080076456,0.34692353
0.34800000000000003,0.67322695,0.32522696
0.08900000000000001,0.29180002,0.20280002
0.07100000000000001,0.0,0.071
0.064,0.05819893,0.005801074
0.066,0.0,0.066
0.314,0.00566864,0.30833137
0.652,0.5263831,0.12561691
0.508,0.84692705,0.33892703
0.125,0.39899486,0.27399486
0.077,0.0,0.077
0.07100000000000001,0.080444336,0.009444334
0.068,0.023340464,0.04465954
0.069,0.012423992,0.056576006
0.045,0.03298211,0.012017891
0.013999999999999999,0.0,0.014
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.027000000000000003,0.0,0.027
0.048,0.0,0.048
0.07400000000000001,0.016160011,0.05783999
0.29600000000000004,0.073043585,0.22295642
0.59,0.50720406,0.08279592
0.7659999999999999,0.79551345,0.029513478
0.879,0.830283,0.048717022
0.909,0.92430407,0.015304089
0.8160000000000001,0.90125346,0.08525348
0.5770000000000001,0.74690735,0.16990733
0.35100000000000003,0.49020958,0.13920957
0.17600000000000002,0.30781138,0.13181138
0.107,0.08690357,0.020096429
0.161,0.06367326,0.09732674
0.281,0.21270919,0.0682908
0.446,0.38124293,0.06475708
0.551,0.56277764,0.011777639
0.66,0.60201555,0.05798447
0.993,0.71404904,0.27895093
1.196,1.2153953,0.019395351
1.083,1.2089965,0.12599659
0.836,0.903666,0.067665994
0.682,0.6918926,0.0098926425
0.71,0.629859,0.08014101
0.7290000000000001,0.7433267,0.014326751
0.833,0.70933586,0.12366414
0.836,0.87493706,0.038937032
0.954,0.7878258,0.16617417
1.396,0.9997593,0.3962407
1.94,1.6993372,0.24066281
2.3609999999999998,2.318199,0.04280114
1.992,2.7246695,0.7326695
1.7380000000000002,1.753001,0.015000939
1.443,1.5511583,0.10815835
0.993,1.2973669,0.3043669
0.893,0.74538,0.14762002
0.6980000000000001,0.8633818,0.16538179
0.5770000000000001,0.58384234,0.006842315
0.494,0.52017754,0.026177555
0.408,0.46004456,0.05204457
0.29,0.36946607,0.079466075
0.207,0.24469972,0.037699714
0.248,0.17867017,0.06932983
0.45,0.30032665,0.14967334
0.65,0.5824938,0.067506194
