true_values,predicted_values,abs_error
0.198,0.0,0.198
0.551,0.11581254,0.43518746
1.02,0.89937973,0.12062025
1.227,1.215229,0.011770964
1.226,1.2122827,0.013717294
1.361,1.1363168,0.22468317
1.753,1.3689139,0.38408613
2.373,1.8632064,0.5097935
2.75,2.4972196,0.25278044
2.292,2.6064353,0.31443524
2.021,1.7737664,0.24723351
2.089,1.7709123,0.3180877
1.984,2.0479615,0.063961506
1.92,1.781058,0.138942
2.023,1.7747068,0.24829316
2.408,1.9850299,0.42297006
2.589,2.4613526,0.1276474
2.445,2.436887,0.008112907
2.449,2.1545537,0.29444623
2.268,2.3017707,0.0337708
2.278,2.0309787,0.24702144
2.32,2.1678917,0.15210819
2.262,2.2130919,0.048908234
2.279,2.092701,0.18629909
2.312,2.169437,0.1425631
2.339,2.2049053,0.13409472
2.446,2.218504,0.22749615
2.526,2.3601825,0.1658175
2.738,2.4032948,0.3347051
2.726,2.6573467,0.068653345
1.898,2.5096571,0.61165714
1.389,1.4007962,0.011796117
1.287,1.2142968,0.07270312
1.227,1.3505152,0.12351525
0.914,1.2559292,0.34192926
0.768,0.8228847,0.054884672
0.837,0.8066418,0.030358195
0.916,0.9983766,0.0823766
0.835,1.0417119,0.20671195
0.769,0.86460614,0.09560615
0.64,0.8333285,0.1933285
0.627,0.6677344,0.04073441
0.614,0.7297046,0.115704596
0.518,0.70722127,0.18922126
0.586,0.5420468,0.04395324
0.798,0.7450317,0.052968264
0.846,1.0403391,0.1943391
0.726,0.9453858,0.2193858
0.68,0.75496316,0.07496315
0.751,0.7798791,0.028879106
0.915,0.92133236,0.006332338
1.191,1.1153202,0.07567978
1.519,1.4208435,0.09815657
1.813,1.7273954,0.08560455
2.356,1.9456922,0.41030777
3.334,2.5698977,0.76410246
4.021,3.561057,0.45994282
3.938,3.840606,0.09739399
3.985,3.5026214,0.48237848
4.452,3.6475463,0.80445385
4.796,4.2041545,0.5918455
5.575,4.4171133,1.1578865
5.583,5.2695856,0.31341457
5.729,4.9629164,0.7660837
5.868,5.159061,0.7089391
5.982,5.281731,0.70026875
5.998,5.370432,0.62756824
5.732,5.34889,0.38311005
5.767,5.0294642,0.73753595
5.9,5.145014,0.7549863
5.87,5.2978354,0.57216454
6.632,5.219308,1.4126921
6.984,6.2160025,0.76799774
6.175,6.296957,0.121956825
6.139,5.2410502,0.8979497
5.957,5.4078703,0.5491295
