true_values,predicted_values,abs_error
2.021,2.5174227,0.24643557
2.089,2.1819015,0.008630683
1.984,2.4746258,0.24071373
1.92,2.3587193,0.19247471
2.023,2.2296042,0.04268531
2.408,2.4562318,0.0023263104
2.589,3.12919,0.2918052
2.445,3.2305665,0.61711484
2.449,2.8065803,0.12786376
2.268,2.8619926,0.35282734
2.278,2.6691072,0.15296476
2.32,2.6836438,0.13223687
2.262,2.8037949,0.29354158
2.279,2.6888409,0.1679695
2.312,2.704682,0.15419921
2.339,2.7880154,0.20161481
2.446,2.8148599,0.13605753
2.526,2.9711921,0.19819601
2.738,3.0770845,0.11497838
2.726,3.3904057,0.44143477
1.898,3.2574,1.8479685
1.389,2.0427203,0.42735016
1.287,1.4100513,0.015141648
1.227,1.3738041,0.021551441
0.914,1.3253729,0.16922772
0.768,1.0279076,0.06755196
0.837,0.9302856,0.008702196
0.916,1.0022128,0.007432639
0.835,1.0438414,0.043614723
0.769,0.9258826,0.024612145
0.64,0.8965603,0.0658232
0.627,0.7214396,0.008918843
0.614,0.7600142,0.021320133
0.518,0.6982837,0.0325022
0.586,0.556082,0.0008950876
0.798,0.74934816,0.0023669992
0.846,1.0572286,0.0446175
0.726,0.98306465,0.06608223
0.68,0.8635981,0.033708263
0.751,0.8455075,0.00893167
0.915,0.9209938,3.592544e-05
1.191,1.1014037,0.008027492
1.519,1.4911611,0.0007750069
1.813,2.1099415,0.08817427
2.356,2.4513435,0.0090904
3.334,3.1174397,0.04689839
4.021,4.765789,0.55471087
3.938,5.0445747,1.2245077
3.985,4.004112,0.00036526364
4.452,4.587986,0.018492151
4.796,6.0651665,1.6107836
5.575,5.014624,0.3140209
5.583,7.1924067,2.5901892
5.729,5.488381,0.05789759
5.868,6.9130697,1.0921707
5.982,6.0495987,0.0045696003
5.998,6.7465763,0.5603663
5.732,6.158601,0.18198836
5.767,6.246525,0.22994386
5.9,6.321472,0.17763871
5.87,6.340126,0.2210186
6.632,6.778536,0.021472761
6.984,7.5615606,0.33357605
6.175,7.3,1.265625
6.139,6.3974934,0.06681885
5.957,7.09795,1.3017673
5.675,6.4514155,0.6028208
4.945,6.408742,2.14254
4.27,5.47272,1.4465358
3.716,5.197662,2.1953218
3.306,4.7674065,2.1357088
3.081,4.6112165,2.3415625
2.066,4.478318,5.819279
1.499,3.206389,2.915177
1.241,2.0688343,0.6853095
0.939,1.4042323,0.21644105
0.896,1.1326411,0.055998985
0.94,1.0871843,0.021663222
1.112,1.082706,0.00085813925
1.186,1.2438986,0.0033522525
1.286,1.3153824,0.0008633224
1.274,1.4943423,0.04855072
1.174,1.4446295,0.07324034
1.053,1.2972324,0.059649475
0.811,1.1791027,0.13549958
0.767,0.94917345,0.03318716
0.918,0.9365485,0.00034404642
1.041,1.0921636,0.0026177093
0.98,1.1814984,0.0406016
0.769,1.0877388,0.101594396
0.675,0.8808181,0.042361096
0.687,0.818696,0.017343849
0.843,0.8236506,0.00037439913
0.971,1.0388777,0.0046073836
1.206,1.1395395,0.0044169966
1.498,1.5300311,0.0010259887
1.464,2.0213985,0.31069314
1.436,1.7184573,0.07978216
1.544,1.6240058,0.0064009223
1.862,1.8287443,0.0011059414
2.193,2.4572306,0.06981775
2.551,2.8558187,0.092914395
2.761,3.2235885,0.21398817
2.891,3.4313142,0.29193944
3.19,3.5003374,0.096309245
3.01,4.011002,1.0020051
3.068,3.4187562,0.12302989
5.212,3.559555,2.730574
9.24,7.7275906,2.2873816
10.366,11.155632,0.62351847
5.808,8.594664,7.765494
2.566,4.8143487,5.055072
1.044,3.0051117,3.845959
0.343,1.6716363,1.7652748
0.253,0.7011528,0.20084094
0.703,0.3600073,0.117644005
1.193,1.140601,0.0027456468
0.916,1.7430981,0.6840913
2.465,0.95749736,2.272564
3.471,4.481937,1.0219935
2.071,4.3518343,5.2022047
1.228,2.281347,1.1095399
1.666,1.4115131,0.06476359
2.858,1.8575516,1.0008972
2.286,4.1756225,3.570673
1.656,2.4617505,0.6492339
1.522,1.741878,0.04834637
1.763,1.5868621,0.031024568
2.079,2.105031,0.0006776139
2.316,2.7318466,0.17292838
2.24,2.908076,0.4463256
2.449,2.6293292,0.032518666
3.299,2.9818888,0.10055955
4.52,4.6866207,0.027762469
5.234,6.1922436,0.91823035
5.434,5.194124,0.057540398
5.717,6.6042137,0.7871482
6.167,6.495677,0.10802869
6.695,6.550974,0.02074357
6.913,7.1203136,0.0429789
6.589,7.039014,0.20251228
6.151,6.386588,0.05550174
5.962,6.541073,0.33532548
5.968,6.541234,0.3285973
6.084,6.787653,0.49512735
6.311,6.7813044,0.22118631
6.64,7.0475254,0.16607706
7.067,7.246604,0.032257617
7.415,7.602871,0.035295505
7.694,7.7447014,0.002570654
7.72,7.9902563,0.073038585
7.894,7.810402,0.0069886483
7.988,8.204428,0.046840996
7.743,8.013731,0.07329526
7.444,7.805563,0.13072795
7.426,7.568224,0.020227619
7.364,7.7492943,0.1484518
7.415,7.5269184,0.012525739
7.65,7.7736607,0.015291935
7.815,7.903741,0.007874934
8.19,8.019465,0.02908189
8.381,8.4722805,0.00833221
8.451,8.371536,0.0063145207
8.599,8.551761,0.0022315518
8.746,8.630707,0.013292592
8.798,8.789779,6.759514e-05
8.501,8.7333765,0.053998653
8.202,8.31123,0.011931202
7.947,8.214033,0.071306676
7.445,7.9283676,0.23364408
7.112,7.4646063,0.1243312
7.084,7.4083223,0.105184905
7.127,7.4424686,0.09952056
6.995,7.478058,0.233345
6.282,7.2746,0.9852547
5.992,6.5307913,0.29029593
6.062,6.7348824,0.45277095
6.123,6.819659,0.4853339
6.205,6.7942877,0.34726006
6.039,6.8808155,0.7086533
5.962,6.600583,0.4077885
6.567,6.7087326,0.020088157
7.308,7.481246,0.030014144
8.38,7.7728577,0.36862195
9.009,9.001671,5.371405e-05
9.536,8.91056,0.39117596
9.216,9.784539,0.3232373
5.432,8.531873,9.60921
1.857,4.889927,9.198647
0.288,5.0155125,22.349373
2.171,2.6273568,0.20826149
6.31,3.5533247,7.5992584
8.627,8.511636,0.01330887
9.68,9.913584,0.054561228
10.885,9.07125,3.28969
5.92,12.2917385,40.599052
3.014,3.5999832,0.3433764
3.262,4.0998015,0.7019113
3.416,4.583042,1.3619876
2.975,3.7922583,0.66791123
2.202,3.65562,2.1130116
2.22,2.6335359,0.17101188
3.108,2.5979047,0.26019728
4.084,4.2893925,0.04218602
5.903,5.740954,0.026258891
7.533,7.0829916,0.20250756
7.57,7.8917713,0.10353667
7.253,7.0872126,0.027485402
6.148,7.431715,1.6479248
4.378,5.644703,1.6045368
4.36,5.2426615,0.77909106
5.314,5.6718636,0.12806623
4.65,6.2682247,2.618651
3.625,5.0803337,2.1179962
2.666,4.730542,4.262335
1.93,3.7816763,3.4287052
1.598,2.765002,1.3618935
1.629,1.9246581,0.08741372
1.544,1.7501923,0.042515244
1.519,1.6490592,0.016915375
1.344,1.6634974,0.10207863
0.789,1.4263256,0.4061839
0.493,0.93650067,0.19669284
0.38,0.620044,0.05762112
0.472,0.43313146,0.0015107639
0.356,0.61375713,0.066438735
0.16,0.29641175,0.018608168
0.071,0.07430816,1.0943887e-05
0.036,0.0,0.0012959999
0.003,0.0,9e-06
0.0,0.0,0.0
0.002,0.0,4.0000004e-06
0.009,0.0,8.099999e-05
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.009,0.0,8.099999e-05
0.027,0.0,0.000729
0.041,0.0,0.0016810001
0.122,0.0,0.014884001
0.661,0.08205676,0.33517528
0.928,1.3890916,0.21260549
1.27,1.2926223,0.0005117706
1.232,1.7357758,0.25379008
0.675,1.3627756,0.47303522
0.206,0.8874445,0.46436664
0.06,0.24991035,0.036065944
0.048,0.105229616,0.003275229
0.042,0.045752287,1.4079661e-05
0.054,0.008291721,0.0020892469
0.093,0.0,0.008649
0.391,0.0,0.152881
0.517,0.6579249,0.019859819
0.451,0.63678,0.034514215
0.366,0.6063101,0.05774896
0.307,0.5058582,0.03954457
0.17,0.33455253,0.027077533
0.074,0.12614489,0.002719089
0.187,0.0,0.034969002
0.704,0.3557768,0.121259406
0.621,1.4803087,0.73841137
0.571,0.6719291,0.010186692
0.686,0.9096818,0.05003355
0.08,0.9289696,0.72074944
0.0,0.06905246,0.004768242
0.0,0.075348616,0.0056774137
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.001,0.0,1.0000001e-06
0.018,0.0,0.00032399996
0.027,0.0,0.000729
0.042,0.0,0.0017639999
0.086,0.0,0.0073960004
0.427,0.0,0.18232898
0.348,0.79693186,0.20153983
0.089,0.26726317,0.03177776
0.071,0.14871097,0.006038994
0.064,0.0046470165,0.003522777
0.066,0.026530027,0.0015578787
0.314,0.013684273,0.09018954
0.652,0.5068371,0.021072261
0.508,0.9899515,0.23227723
0.125,0.6355672,0.26067886
0.077,0.30202365,0.050635647
0.071,0.15562272,0.0071610045
0.068,0.037023783,0.0009595263
0.069,0.04057288,0.000808101
0.045,0.0,0.002025
0.014,0.0,0.00019600001
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
