true_values,predicted_values,abs_error
2.021,2.355254,0.33425403
2.089,2.108868,0.019867897
1.984,2.2207475,0.2367475
1.92,2.0582597,0.13825977
2.023,2.0226147,0.00038528442
2.408,2.211682,0.19631791
2.589,2.7326598,0.14365983
2.445,2.7974653,0.3524654
2.449,2.5288198,0.07981992
2.268,2.6112683,0.3432684
2.278,2.2844682,0.0064680576
2.32,2.428111,0.10811114
2.262,2.2906775,0.028677464
2.279,2.3022282,0.023228168
2.312,2.333148,0.021147966
2.339,2.3612266,0.022226572
2.4459999999999997,2.3947275,0.05127263
2.526,2.551336,0.025336027
2.738,2.5997984,0.13820148
2.7260000000000004,2.8941731,0.16817307
1.898,2.74227,0.84427
1.389,1.515161,0.12616098
1.287,1.2741766,0.012823343
1.227,1.1729883,0.054011703
0.914,1.161112,0.24711198
0.768,0.74068046,0.02731955
0.8370000000000001,0.7075808,0.12941921
0.9159999999999999,0.8553224,0.060677588
0.835,0.96159536,0.12659538
0.769,0.7563331,0.012666881
0.64,0.7375286,0.09752864
0.627,0.57068574,0.05631423
0.614,0.62188286,0.0078828335
0.518,0.5744933,0.056493282
0.586,0.4486961,0.13730392
0.7979999999999999,0.6025152,0.19548476
0.846,0.9900613,0.14406127
0.726,0.8768635,0.15086347
0.68,0.6721593,0.007840693
0.7509999999999999,0.6780293,0.07297069
0.915,0.85175467,0.063245356
1.1909999999999998,1.0598236,0.13117635
1.519,1.4104497,0.10855031
1.8130000000000002,1.7665398,0.04646015
2.356,2.0420773,0.31392264
3.3339999999999996,2.7666886,0.5673115
4.021,3.912674,0.10832596
3.938,4.4954166,0.5574167
3.985,4.007426,0.02242589
4.452,4.2289777,0.22302246
4.796,5.08191,0.28591013
5.575,4.979153,0.59584665
5.582999999999999,6.220163,0.6371627
5.729,5.3278522,0.40114784
5.867999999999999,6.179176,0.31117582
5.982,6.033883,0.05188322
5.997999999999999,6.125797,0.12779665
5.732,6.0723233,0.34032345
5.767,5.463018,0.30398226
5.9,6.0309205,0.13092041
5.87,5.8803463,0.010346413
6.6320000000000014,5.699634,0.9323659
6.984,7.3331723,0.34917212
6.175,6.8343487,0.6593485
6.138999999999999,5.044442,1.0945578
5.957000000000001,6.512848,0.5558481
5.675,5.5850844,0.08991575
4.945,5.2963924,0.35139227
4.2700000000000005,4.287808,0.01780796
3.716,3.7210388,0.0050387383
3.306,3.3974552,0.09145522
3.0810000000000004,3.1176152,0.036615133
2.066,3.1340952,1.0680952
1.499,1.6484331,0.14943314
1.2409999999999999,1.4453285,0.20432842
0.939,1.0429504,0.10395038
0.8959999999999999,0.72311854,0.17288148
0.94,0.8734157,0.06658429
1.112,0.9690003,0.14299971
1.186,1.1703615,0.01563847
1.286,1.1415153,0.14448476
1.274,1.3028387,0.028838634
1.1740000000000002,1.2028445,0.028844476
1.053,1.0875305,0.03453052
0.8109999999999999,0.97806525,0.16706526
0.767,0.68508244,0.081917584
0.9179999999999999,0.7413412,0.17665881
1.041,0.98388433,0.057115674
0.98,1.0829647,0.10296464
0.769,0.90113556,0.13213557
0.675,0.6493268,0.02567321
0.687,0.6256032,0.061396778
0.843,0.6860935,0.15690649
0.971,0.92278874,0.048211277
1.206,1.0054471,0.20055282
1.4980000000000002,1.3240405,0.1739595
1.464,1.6466241,0.1826241
1.436,1.3852608,0.05073917
1.544,1.4215479,0.12245214
1.8619999999999999,1.580169,0.28183103
2.193,2.0310688,0.16193128
2.551,2.332798,0.21820211
2.761,2.7307668,0.030233145
2.891,2.8303185,0.06068158
3.19,2.944901,0.24509907
3.01,3.3334348,0.32343483
3.068,2.878361,0.18963909
5.212000000000001,3.1683314,2.0436685
9.24,6.722485,2.5175147
10.366,12.2869215,1.9209213
5.808,7.1970286,1.3890285
2.5660000000000003,3.2698286,0.7038286
1.044,1.0449054,0.00090539455
0.34299999999999997,0.41937828,0.076378286
0.253,0.28339797,0.030397981
0.7030000000000001,0.26013726,0.44286275
1.193,1.1845038,0.008496165
0.9159999999999999,1.5724586,0.6564586
2.465,0.68224347,1.7827564
3.471,3.7198505,0.24885058
2.0709999999999997,3.9707685,1.8997684
1.228,1.5423989,0.31439888
1.666,1.1801252,0.48587477
2.858,1.7987936,1.0592065
2.286,3.5772188,1.2912188
1.656,1.7975166,0.14151657
1.5219999999999998,1.5463698,0.024369836
1.763,1.4300077,0.33299232
2.079,1.7877038,0.29129624
2.316,2.184248,0.13175201
2.24,2.373516,0.13351607
2.449,2.1206102,0.32838964
3.299,2.5927844,0.7062156
4.5200000000000005,3.841902,0.67809796
5.234,5.347435,0.11343479
5.434,5.653041,0.21904087
5.7170000000000005,5.151586,0.56541395
6.167000000000001,6.1200366,0.046963215
6.695,6.585752,0.10924816
6.912999999999999,6.9150314,0.0020313263
6.5889999999999995,6.9091706,0.3201704
6.151,6.12926,0.02173996
5.962000000000001,5.8635273,0.098472595
5.968,5.963375,0.0046248436
6.0840000000000005,5.9329805,0.15101957
6.311,6.067495,0.243505
6.6400000000000015,6.370004,0.2699957
7.067,6.7210627,0.34593725
7.415,7.169537,0.2454629
7.694,7.3965545,0.2974453
7.72,7.7400203,0.020020485
7.894,7.5991054,0.2948947
7.9879999999999995,8.113972,0.1259718
7.742999999999999,7.946735,0.20373487
7.444,7.5156384,0.071638584
7.426,7.292645,0.13335514
7.364,7.552994,0.18899393
7.415,7.199366,0.21563387
7.65,7.48873,0.16127014
