true_values,predicted_values,abs_error
2.089,1.5355492,0.5534508
1.984,1.5734444,0.4105556
1.92,0.9043813,1.0156187
2.023,1.2452178,0.7777822
2.408,1.4629159,0.9450841
2.589,2.3762412,0.21275878
2.445,2.0016618,0.44333816
2.449,1.3428297,1.1061702
2.268,2.2677484,0.0002515316
2.278,1.3013473,0.97665286
2.32,1.6146574,0.70534253
2.262,1.8845415,0.37745857
2.279,1.2837191,0.995281
2.312,1.723176,0.58882403
2.339,1.7539225,0.5850775
2.4459999999999997,1.5141172,0.93188286
2.526,2.0924401,0.4335599
2.738,1.9690919,0.768908
2.7260000000000004,2.4258423,0.3001578
1.898,1.9985838,0.10058379
1.389,0.4890089,0.89999115
1.287,0.62881947,0.6581805
1.227,0.5331683,0.6938317
0.914,0.51908445,0.39491552
0.768,0.31024122,0.45775878
0.8370000000000001,0.27299213,0.5640079
0.9159999999999999,0.3140869,0.6019131
0.835,0.3533082,0.48169178
0.769,0.30068445,0.46831554
0.64,0.27775145,0.36224854
0.627,0.21225452,0.41474545
0.614,0.21207571,0.4019243
0.518,0.2046814,0.3133186
0.586,0.1405282,0.44547182
0.7979999999999999,0.194448,0.603552
0.846,0.31880713,0.5271929
0.726,0.3255763,0.4004237
0.68,0.2570653,0.4229347
0.7509999999999999,0.24237299,0.508627
0.915,0.28072023,0.6342798
1.1909999999999998,0.36721754,0.82378244
1.519,0.5554671,0.9635329
1.8130000000000002,0.88450956,0.9284904
2.356,1.2652588,1.0907412
3.3339999999999996,2.6955981,0.638402
4.021,4.9069595,0.8859596
3.938,3.4208393,0.51716065
3.985,2.885388,1.099612
4.452,5.163397,0.7113967
4.796,4.4342446,0.36175537
5.575,4.2540665,1.3209333
5.582999999999999,7.2319813,1.6489811
5.729,5.0869417,0.6420584
5.867999999999999,5.5395546,0.32844543
5.982,6.0688963,0.08689642
5.997999999999999,5.6286216,0.36937857
5.732,5.8633327,0.13133287
5.767,5.3219304,0.4450698
5.9,5.664135,0.23586512
5.87,5.7194734,0.15052652
6.6320000000000014,5.4913416,1.1406584
6.984,7.2339087,0.24990845
6.175,6.2991643,0.124164104
6.138999999999999,5.52073,0.6182699
5.957000000000001,6.0258846,0.06888485
5.675,5.5191984,0.15580177
4.945,5.096908,0.15190792
4.2700000000000005,3.8806305,0.3893695
3.716,3.1637607,0.5522394
3.306,2.8218079,0.48419213
3.0810000000000004,2.480587,0.6004131
2.066,2.4788132,0.4128132
1.499,0.54203844,0.9569615
1.2409999999999999,0.67564917,0.5653509
0.939,0.4561739,0.4828261
0.8959999999999999,0.30415964,0.5918404
0.94,0.31510496,0.62489504
1.112,0.34025812,0.77174187
1.186,0.45012283,0.73587716
1.286,0.48222876,0.80377126
1.274,0.5616584,0.71234167
1.1740000000000002,0.5216646,0.6523354
1.053,0.44852304,0.6044769
0.8109999999999999,0.3937645,0.4172355
0.767,0.27232027,0.49467975
0.9179999999999999,0.27303028,0.6449697
1.041,0.3562312,0.6847688
0.98,0.4216771,0.5583229
0.769,0.36789703,0.40110296
0.675,0.26212645,0.41287357
0.687,0.23280287,0.4541971
0.843,0.24539328,0.5976067
0.971,0.3300805,0.6409195
1.206,0.3920579,0.8139421
1.4980000000000002,0.5723424,0.92565763
1.464,0.82226276,0.6417372
1.436,0.660532,0.775468
1.544,0.66450787,0.87949216
1.8619999999999999,0.8323593,1.0296407
2.193,1.4172354,0.7757647
2.551,1.9579916,0.5930085
2.761,2.3432088,0.41779113
2.891,2.2787333,0.6122668
3.19,2.5360546,0.65394545
3.01,3.4358578,0.42585778
3.068,1.693202,1.374798
5.212000000000001,3.7916222,1.4203777
9.24,8.038587,1.2014132
10.366,9.913017,0.4529829
5.808,10.001722,4.1937222
2.5660000000000003,5.1948433,2.6288433
1.044,0.4652195,0.57878053
0.34299999999999997,0.40907001,0.06607002
0.253,0.0,0.253
0.7030000000000001,0.0,0.703
1.193,0.28600502,0.90699494
0.9159999999999999,0.5716324,0.34436762
2.465,0.29086256,2.1741374
3.471,4.450715,0.9797151
2.0709999999999997,4.6048036,2.5338035
1.228,0.38206053,0.8459395
1.666,0.5681329,1.0978671
2.858,1.1478829,1.7101171
2.286,5.392601,3.106601
1.656,0.7868829,0.86911714
1.5219999999999998,0.74579287,0.7762071
1.763,0.7945528,0.9684472
2.079,1.2101526,0.86884737
2.316,1.8153024,0.5006976
2.24,1.8931065,0.34689355
2.449,1.3026681,1.1463318
3.299,2.5082994,0.7907007
4.5200000000000005,4.783514,0.26351404
5.234,4.859391,0.374609
5.434,5.127507,0.3064928
5.7170000000000005,5.4346952,0.28230476
6.167000000000001,5.628974,0.53802586
6.695,6.180153,0.5148473
6.912999999999999,6.5778503,0.33514977
6.5889999999999995,6.578368,0.010632038
6.151,6.071029,0.07997084
5.962000000000001,5.7501345,0.21186543
5.968,5.679576,0.28842402
6.0840000000000005,5.7608695,0.3231306
6.311,5.8940115,0.41698837
6.6400000000000015,6.1432977,0.4967022
7.067,6.466907,0.6000929
7.415,6.927101,0.48789883
7.694,7.1693563,0.5246434
7.72,7.4717846,0.2482152
7.894,7.229315,0.66468525
7.9879999999999995,7.7670836,0.22091627
7.742999999999999,7.5406322,0.20236778
7.444,7.1036835,0.3403163
7.426,7.0156565,0.41034365
7.364,7.046846,0.31715393
7.415,6.9258676,0.4891324
7.65,7.124786,0.5252142
7.815,7.42635,0.38864994
8.19,7.4763265,0.7136731
8.381,8.16442,0.21657944
8.451,7.9592695,0.4917307
8.599,8.086702,0.51229763
8.746,8.467078,0.27892208
8.798,8.261927,0.5360737
8.501,8.546456,0.045455933
8.202,7.6667166,0.5352831
7.947,7.863498,0.083501816
7.445,7.361496,0.0835042
7.112,6.7419524,0.37004757
7.0840000000000005,6.760133,0.32386732
7.127000000000001,6.720886,0.40611362
6.995,6.828091,0.16690874
6.282,6.529521,0.24752092
5.992000000000001,5.748413,0.24358702
6.062,5.6858816,0.37611818
6.122999999999999,5.95861,0.16439009
6.205,5.8695555,0.33544445
6.039,6.0205746,0.018425465
5.962000000000001,5.7148767,0.24712324
6.567,5.7264733,0.8405266
7.308,6.7753263,0.53267384
8.38,7.1531734,1.2268267
9.009,8.794815,0.21418476
9.536,8.776625,0.7593756
9.216,9.238473,0.022473335
5.432,8.47387,3.04187
1.857,5.0334144,3.1764145
0.28800000000000003,0.348938,0.060938
2.1710000000000003,0.0,2.171
6.3100000000000005,3.5161605,2.7938395
8.627,9.086433,0.45943356
9.68,8.193204,1.4867964
10.885,9.4178095,1.4671907
5.92,11.009747,5.0897465
