true_values,predicted_values,abs_error
2.021,2.2597454,0.23874545
2.089,1.9592147,0.1297853
1.984,2.0827787,0.098778725
1.92,1.9166529,0.0033470392
2.023,1.8792703,0.14372969
2.408,2.0471766,0.3608234
2.589,2.550029,0.038970947
2.445,2.6246805,0.17968059
2.449,2.3835924,0.065407515
2.268,2.4482434,0.18024349
2.278,2.1482227,0.12977743
2.32,2.2652135,0.054786444
2.262,2.13686,0.12514019
2.279,2.122778,0.1562221
2.312,2.167237,0.144763
2.339,2.1905162,0.14848375
2.4459999999999997,2.2192478,0.22675228
2.526,2.3660665,0.15993357
2.738,2.41845,0.3195498
2.7260000000000004,2.696121,0.029879093
1.898,2.5569828,0.65898275
1.389,1.4722741,0.08327401
1.287,1.145247,0.14175296
1.227,1.0942173,0.1327827
0.914,1.0733869,0.15938693
0.768,0.70441103,0.06358898
0.8370000000000001,0.6440937,0.19290632
0.9159999999999999,0.7585432,0.15745682
0.835,0.8587605,0.023760498
0.769,0.70240325,0.06659675
0.64,0.66236806,0.022368073
0.627,0.4976132,0.12938678
0.614,0.54276514,0.07123488
0.518,0.50250953,0.015490472
0.586,0.3844108,0.20158923
0.7979999999999999,0.5101553,0.28784466
0.846,0.84755963,0.0015596151
0.726,0.7870075,0.0610075
0.68,0.6124183,0.06758171
0.7509999999999999,0.5806677,0.17033231
0.915,0.73290807,0.18209195
1.1909999999999998,0.93040454,0.26059544
1.519,1.2479428,0.27105725
1.8130000000000002,1.565583,0.24741697
2.356,1.8488412,0.50715876
3.3339999999999996,2.532115,0.8018851
4.021,3.6717632,0.34923673
3.938,4.2269015,0.28890157
3.985,3.804877,0.18012285
4.452,4.086856,0.36514425
4.796,4.7263923,0.069607735
5.575,4.992662,0.58233786
5.582999999999999,6.251981,0.6689806
5.729,5.039842,0.68915796
5.867999999999999,5.808969,0.05903101
5.982,5.8369613,0.1450386
5.997999999999999,5.757138,0.24086237
5.732,5.7171354,0.014864445
5.767,5.1542754,0.6127248
5.9,5.713737,0.18626308
5.87,5.633805,0.23619509
6.6320000000000014,5.3434606,1.2885394
6.984,7.1930237,0.20902348
6.175,6.6201262,0.44512606
6.138999999999999,4.826465,1.3125348
5.957000000000001,6.137788,0.18078804
5.675,5.4422283,0.23277187
4.945,4.9402075,0.0047926903
4.2700000000000005,4.010361,0.2596388
3.716,3.531608,0.18439198
3.306,3.223821,0.08217907
3.0810000000000004,2.9981341,0.08286595
2.066,2.9231448,0.85714483
1.499,1.4276671,0.07133281
1.2409999999999999,1.3835711,0.14257109
0.939,0.9746008,0.03560078
0.8959999999999999,0.73641634,0.15958369
0.94,0.80142844,0.13857156
1.112,0.8728682,0.23913181
1.186,1.0665631,0.11943686
1.286,1.076397,0.20960307
1.274,1.2045794,0.069420695
1.1740000000000002,1.1293952,0.04460478
1.053,1.033845,0.019155025
0.8109999999999999,0.9158234,0.10482341
0.767,0.64952123,0.11747879
0.9179999999999999,0.68205136,0.23594862
1.041,0.8930228,0.14797723
0.98,0.99991673,0.019916713
0.769,0.86055124,0.091551244
0.675,0.6184696,0.056530416
0.687,0.57011396,0.11688602
0.843,0.620726,0.222274
0.971,0.84654343,0.124456584
1.206,0.9311496,0.27485037
1.4980000000000002,1.2172455,0.28075457
1.464,1.5124795,0.048479557
1.436,1.3264091,0.10959089
1.544,1.3422127,0.20178735
1.8619999999999999,1.4613972,0.40060282
2.193,1.8645678,0.32843232
2.551,2.1661143,0.3848858
2.761,2.5360198,0.22498012
2.891,2.6450198,0.24598026
3.19,2.7565982,0.43340182
3.01,3.1340005,0.12400055
3.068,2.7215266,0.34647346
5.212000000000001,2.9944713,2.2175286
9.24,6.5685678,2.671432
10.366,12.488683,2.1226826
5.808,6.9073353,1.0993352
2.5660000000000003,3.4223244,0.85632443
1.044,0.7912877,0.2527123
0.34299999999999997,0.30457103,0.038428962
0.253,0.2266199,0.026380092
0.7030000000000001,0.20116436,0.50183564
1.193,1.0151813,0.17781866
0.9159999999999999,1.2602239,0.34422386
2.465,0.72024137,1.7447586
3.471,3.1540134,0.31698656
2.0709999999999997,3.5278475,1.4568474
1.228,1.5322134,0.3042134
1.666,1.0217531,0.64424694
2.858,1.6509553,1.2070447
2.286,3.2192914,0.93329144
1.656,1.7476944,0.091694355
1.5219999999999998,1.4661857,0.055814266
1.763,1.3058455,0.4571545
2.079,1.6957679,0.38323212
2.316,1.9858727,0.33012724
2.24,2.1948426,0.045157433
2.449,1.9790878,0.46991205
3.299,2.3721638,0.92683625
4.5200000000000005,3.5495396,0.9704604
5.234,5.077206,0.15679407
5.434,5.6060004,0.17200041
5.7170000000000005,5.514852,0.20214796
6.167000000000001,5.942291,0.22470903
6.695,6.278412,0.4165883
6.912999999999999,6.753073,0.15992689
6.5889999999999995,6.6158485,0.026848316
6.151,5.9548454,0.1961546
