SiteID,104686,Site Timezone,-5,Data Timezone,-5,,,,,
Longitude,-76.021698,,,,,,,,,
Latitude,43.116604,,,,,,,,,
Year,Month,Day,Hour,Minute,power (MW),wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 2m (K),surface air pressure (Pa),density at hub height (kg/m^3)
2010,10,2,13,15,1.502,325.182,4.739,286.536,100314.328,1.211
2010,10,2,13,20,1.586,325.16,4.806,286.552,100305.168,1.211
2010,10,2,13,25,1.604,325.66,4.821,286.585,100301.512,1.211
2010,10,2,13,30,1.608,326.55,4.825,286.616,100296.024,1.211
2010,10,2,13,35,1.615,327.863,4.831,286.631,100290.52,1.211
2010,10,2,13,40,1.569,329.95,4.794,286.664,100297.848,1.21
2010,10,2,13,45,1.55,332.202,4.779,286.701,100302.432,1.21
2010,10,2,13,50,1.538,334.202,4.769,286.701,100302.432,1.21
2010,10,2,13,55,1.553,335.685,4.782,286.725,100305.168,1.21
2010,10,2,14,0,1.755,335.932,4.943,286.747,100298.768,1.21
2010,10,2,14,5,2.013,335.669,5.151,286.732,100291.448,1.21
2010,10,2,14,10,2.131,335.428,5.246,286.744,100289.608,1.21
2010,10,2,14,15,2.078,335.532,5.203,286.759,100293.272,1.21
2010,10,2,14,20,2.013,335.813,5.151,286.732,100296.024,1.21
2010,10,2,14,25,1.983,335.862,5.127,286.735,100296.024,1.21
2010,10,2,14,30,1.975,335.472,5.121,286.744,100296.936,1.21
2010,10,2,14,35,2.039,334.583,5.172,286.71,100291.448,1.21
2010,10,2,14,40,2.047,333.847,5.178,286.713,100291.448,1.21
2010,10,2,14,45,2.032,333.215,5.166,286.719,100288.696,1.21
2010,10,2,14,50,2.001,332.622,5.142,286.677,100293.272,1.21
2010,10,2,14,55,2.062,332.034,5.191,286.677,100293.272,1.21
2010,10,2,15,0,2.204,331.666,5.294,286.677,100289.608,1.21
2010,10,2,15,5,2.188,331.792,5.285,286.613,100289.608,1.21
