SiteID,104686,Site Timezone,-5,Data Timezone,-5,,,,,
Longitude,-76.021698,,,,,,,,,
Latitude,43.116604,,,,,,,,,
Year,Month,Day,Hour,Minute,power (MW),wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 2m (K),surface air pressure (Pa),density at hub height (kg/m^3)
2010,1,1,0,0,8.22,187.723,7.898,273.618,99865.712,1.25
2010,1,1,0,5,8.166,187.597,7.879,273.673,99861.136,1.25
2010,1,1,0,10,8.014,187.498,7.827,273.609,99857.472,1.25
2010,1,1,0,15,7.789,187.3,7.751,273.639,99852.888,1.25
2010,1,1,0,20,7.6,187.069,7.687,273.587,99851.976,1.25
2010,1,1,0,25,7.42,186.91,7.626,273.621,99847.4,1.25
2010,1,1,0,30,7.231,186.987,7.562,273.618,99847.4,1.25
2010,1,1,0,35,7.069,187.185,7.507,273.676,99843.736,1.25
2010,1,1,0,40,7.006,187.449,7.486,273.603,99840.992,1.25
2010,1,1,0,45,6.997,187.586,7.483,273.755,99839.16,1.25
2010,1,1,0,50,7.014,187.734,7.489,273.773,99838.24,1.25
2010,1,1,0,55,6.951,188.009,7.467,273.886,99836.408,1.25
2010,1,1,1,0,6.789,188.36,7.412,273.725,99834.576,1.25
2010,1,1,1,5,6.609,188.707,7.351,273.755,99831.832,1.25
2010,1,1,1,10,6.341,188.904,7.251,273.56,99829.088,1.25
2010,1,1,1,15,6.048,188.959,7.126,273.719,99829.088,1.25
2010,1,1,1,20,5.684,188.772,6.97,273.52,99829.088,1.25
2010,1,1,1,25,5.299,188.481,6.805,273.642,99829.088,1.25
2010,1,1,1,30,4.87,188.394,6.622,273.554,99829.088,1.25
2010,1,1,1,35,4.478,188.608,6.454,273.471,99826.336,1.25
2010,1,1,1,40,4.207,188.789,6.338,273.465,99824.504,1.25
2010,1,1,1,45,4.028,189.009,6.262,273.465,99823.592,1.25
2010,1,1,1,50,3.916,189.108,6.201,273.453,99821.76,1.25
