year,month,date,hour,forecast 0-surface_pressure,forecast 0-temp@2M,forecast 0-wind_gust_speed,forecast 0-2_M_rel_humid,forecast 0-temp_gnd_lvl,forecast 1-surface_pressure,forecast 1-temp@2M,forecast 1-wind_gust_speed,forecast 1-2_M_rel_humid,forecast 1-temp_gnd_lvl,forecast 2-surface_pressure,forecast 2-temp@2M,forecast 2-wind_gust_speed,forecast 2-2_M_rel_humid,forecast 2-temp_gnd_lvl
2010,01,01,00,101650.0,272.7,1.0,97.8,272.37,101670.0,272.8,1.0,98.31,271.93,101540.0,272.5,2.0,100.0,272.17
2010,01,01,01,101640.0,273.2,1.0,97.74000000000001,271.93,101550.0,272.8,2.0,100.0,272.38,101550.0,273.40000000000003,3.0,100.0,272.93
2010,01,01,02,101520.0,273.0,1.0,97.98,272.38,101600.0,273.0,2.0,100.0,272.69,101510.0,273.6,3.0,100.0,273.29
2010,01,01,03,101520.0,273.40000000000003,1.0,96.49000000000001,272.69,101560.0,273.3,3.0,100.0,272.97,101460.0,273.8,3.0,100.0,273.39
2010,01,01,04,101490.0,273.5,2.0,96.2,272.97,101430.0,273.40000000000003,3.0,100.0,272.95,101320.0,273.7,2.0,100.0,273.28000000000003
2010,01,01,05,101400.0,273.5,2.0,96.66,272.95,101430.0,273.1,1.0,100.0,272.87,101290.0,273.40000000000003,2.0,100.0,272.88
2010,01,01,06,101370.0,273.2,1.0,93.92,272.87,101340.0,272.90000000000003,1.0,99.91,272.82,101300.0,273.0,1.0,99.92,272.81
2010,01,01,07,101350.0,273.0,1.0,94.97,272.82,101360.0,272.90000000000003,2.0,99.74000000000001,272.83,101170.0,273.1,2.0,100.0,272.9
2010,01,01,08,101330.0,273.0,1.0,94.5,272.83,101260.0,273.0,2.0,99.65,272.88,101260.0,273.7,2.0,100.0,273.12
2010,01,01,09,101210.0,273.0,1.0,97.11,272.88,101260.0,273.1,1.0,98.92,272.93,101190.0,273.40000000000003,2.0,100.0,273.08
2010,01,01,10,101210.0,273.1,1.0,96.49000000000001,272.93,101250.0,273.1,2.0,98.31,272.89,101190.0,273.6,2.0,100.0,273.03000000000003
2010,01,01,11,101220.0,273.1,1.0,94.93,272.89,101220.0,273.2,2.0,96.53,272.87,101180.0,273.2,1.0,98.31,272.91
2010,01,01,12,101200.0,272.5,1.0,98.82000000000001,272.87,101250.0,272.90000000000003,1.0,98.42,272.82,101210.0,273.1,2.0,98.76,272.98
2010,01,01,13,101190.0,273.2,1.0,96.52,272.82,101220.0,273.2,2.0,97.87,273.08,101180.0,273.6,3.0,97.69,273.46
2010,01,01,14,101170.0,273.40000000000003,1.0,98.52,273.08,101180.0,273.7,2.0,98.39,273.45,101150.0,274.1,2.0,97.11,273.99
