year,month,date,hour,forecast 0-surface_pressure,forecast 0-temp@2M,forecast 0-wind_gust_speed,forecast 0-2_M_rel_humid,forecast 0-temp_gnd_lvl,forecast 1-surface_pressure,forecast 1-temp@2M,forecast 1-wind_gust_speed,forecast 1-2_M_rel_humid,forecast 1-temp_gnd_lvl,forecast 2-surface_pressure,forecast 2-temp@2M,forecast 2-wind_gust_speed,forecast 2-2_M_rel_humid,forecast 2-temp_gnd_lvl
2010,01,01,05,99920.0,272.40000000000003,3.0,94.51,272.22,99920.0,272.40000000000003,3.0,94.63,272.26,99830.0,272.8,4.0,93.60000000000001,272.69
2010,01,01,06,99870.0,272.40000000000003,3.0,93.22,272.13,99890.0,272.40000000000003,3.0,94.29,272.28000000000003,99900.0,272.90000000000003,4.0,92.66,272.79
2010,01,01,07,99870.0,272.5,3.0,92.73,272.27,99980.0,272.5,3.0,94.68,272.37,99850.0,272.90000000000003,4.0,94.27,272.86
2010,01,01,08,99920.0,272.40000000000003,2.0,100.0,272.26,99910.0,272.5,3.0,97.9,272.46,99830.0,273.0,3.0,95.48,272.92
2010,01,01,09,99860.0,272.40000000000003,2.0,100.0,272.35,99870.0,272.5,3.0,98.46000000000001,272.5,99740.0,273.0,4.0,96.41,272.9
2010,01,01,10,99810.0,272.3,2.0,100.0,272.34000000000003,99780.0,272.8,3.0,96.39,272.68,99760.0,273.3,4.0,95.55,273.26
2010,01,01,11,99790.0,272.6,3.0,100.0,272.65,99810.0,272.8,3.0,95.7,272.72,99810.0,273.3,4.0,95.5,273.17
2010,01,01,12,99820.0,272.7,3.0,100.0,272.8,99940.0,272.90000000000003,3.0,96.26,272.74,99850.0,273.2,3.0,94.68,272.96
2010,01,01,13,99880.0,272.7,2.0,99.96000000000001,272.6,99860.0,272.7,2.0,98.62,272.61,99800.0,273.6,3.0,93.29,273.54
2010,01,01,14,99850.0,273.40000000000003,2.0,93.55,272.72,99830.0,273.6,3.0,92.88,273.53000000000003,99830.0,274.90000000000003,3.0,87.23,274.68
2010,01,01,15,99810.0,274.2,2.0,90.86,273.56,99830.0,273.90000000000003,2.0,91.42,273.40000000000003,99740.0,273.7,2.0,94.62,273.6
2010,01,01,16,99770.0,274.5,2.0,89.13,273.39,99750.0,274.0,2.0,92.08,273.64,99740.0,273.90000000000003,4.0,96.75,273.7
2010,01,01,17,99710.0,274.7,2.0,85.89,273.74,99680.0,273.90000000000003,3.0,94.01,273.7,99670.0,274.1,8.0,94.52,273.69
2010,01,01,18,99640.0,274.6,5.0,85.08,273.79,99660.0,273.90000000000003,8.0,93.23,273.56,99740.0,273.5,10.0,91.87,273.11
2010,01,01,19,99640.0,274.7,10.0,82.71000000000001,273.71,99830.0,273.5,10.0,89.91,273.05,99810.0,272.7,11.0,88.08,272.21
2010,01,01,20,99710.0,273.8,10.0,81.62,272.92,99760.0,272.90000000000003,11.0,88.5,272.47,99770.0,272.1,11.0,87.77,271.66
2010,01,01,21,99720.0,273.0,10.0,82.41,272.39,99830.0,272.1,11.0,86.32000000000001,271.69,99780.0,271.5,9.0,86.62,271.03000000000003
2010,01,01,22,99740.0,272.1,10.0,80.62,271.52,99740.0,271.40000000000003,9.0,87.05,271.01,99740.0,271.2,8.0,87.71000000000001,270.79
2010,01,01,23,99710.0,271.7,11.0,79.49,270.93,99820.0,271.1,9.0,85.62,270.68,99760.0,270.8,8.0,89.33,270.42
2010,01,02,00,99700.0,271.40000000000003,10.0,77.43,270.83,99710.0,270.8,9.0,86.17,270.4,99660.0,270.5,8.0,89.72,270.12
2010,01,02,01,99650.0,270.8,8.0,79.26,270.31,99580.0,270.3,8.0,87.19,269.9,99620.0,270.1,8.0,89.24,269.7
2010,01,02,02,99560.0,270.40000000000003,8.0,80.19,269.9,99630.0,270.1,8.0,87.43,269.68,99620.0,270.0,9.0,90.4,269.6
2010,01,02,03,99530.0,270.1,7.0,80.0,269.54,99530.0,269.8,9.0,88.77,269.45,99510.0,269.90000000000003,10.0,90.96000000000001,269.53000000000003
2010,01,02,04,99460.0,269.8,8.0,80.82000000000001,269.32,99600.0,269.8,10.0,89.7,269.47,99460.0,270.0,10.0,91.31,269.61
2010,01,02,05,99430.0,269.5,9.0,82.53,269.16,99380.0,269.7,10.0,90.63,269.38,99420.0,269.8,10.0,92.3,269.49
2010,01,02,06,99390.0,269.5,10.0,84.98,269.28000000000003,99440.0,269.40000000000003,11.0,91.54,269.03000000000003,99480.0,269.6,9.0,93.0,269.22
2010,01,02,07,99420.0,269.0,9.0,86.97,268.81,99500.0,269.0,9.0,92.58,268.63,99550.0,269.0,8.0,91.82000000000001,268.63
2010,01,02,08,99460.0,268.3,7.0,90.03,268.35,99550.0,268.40000000000003,8.0,91.68,268.01,99540.0,268.2,8.0,91.29,267.77
2010,01,02,09,99500.0,267.6,6.0,90.46000000000001,267.65,99540.0,267.6,8.0,91.29,267.19,99500.0,267.2,8.0,89.42,266.76
2010,01,02,10,99540.0,266.90000000000003,6.0,91.26,266.96,99530.0,266.90000000000003,9.0,90.99,266.48,99650.0,266.40000000000003,8.0,87.8,265.97
2010,01,02,11,99550.0,266.3,9.0,91.18,266.25,99690.0,266.0,8.0,89.10000000000001,265.55,99700.0,265.3,8.0,87.16,264.92
2010,01,02,12,99580.0,265.3,5.0,87.09,265.62,99610.0,265.6,8.0,87.83,265.27,99570.0,265.2,10.0,87.4,264.81
2010,01,02,13,99580.0,264.8,5.0,86.9,265.04,99510.0,265.40000000000003,9.0,89.12,265.03000000000003,99690.0,265.2,10.0,85.48,264.79
2010,01,02,14,99610.0,264.8,10.0,89.41,264.86,99710.0,264.3,10.0,86.11,263.91,99920.0,263.90000000000003,8.0,82.62,263.54
2010,01,02,15,99720.0,264.40000000000003,10.0,83.74,263.91,99860.0,263.90000000000003,8.0,84.7,263.5,99940.0,263.6,8.0,82.3,263.31
2010,01,02,16,99750.0,264.0,8.0,81.26,263.42,99820.0,263.90000000000003,8.0,84.06,263.59000000000003,99820.0,263.5,8.0,82.73,263.18
2010,01,02,17,99690.0,263.7,7.0,79.5,263.35,99710.0,263.7,8.0,84.17,263.35,99790.0,263.40000000000003,8.0,82.87,263.05
2010,01,02,18,99640.0,263.3,7.0,80.84,263.14,99870.0,263.1,7.0,83.99,262.72,99890.0,262.7,6.0,83.27,262.29
2010,01,02,19,99720.0,262.5,7.0,79.47,262.34000000000003,99870.0,262.7,7.0,84.57000000000001,262.31,99850.0,262.5,7.0,85.53,262.09000000000003
