year,month,date,hour,forecast 0-surface_pressure,forecast 0-temp@2M,forecast 0-wind_gust_speed,forecast 0-2_M_rel_humid,forecast 0-temp_gnd_lvl,forecast 1-surface_pressure,forecast 1-temp@2M,forecast 1-wind_gust_speed,forecast 1-2_M_rel_humid,forecast 1-temp_gnd_lvl,forecast 2-surface_pressure,forecast 2-temp@2M,forecast 2-wind_gust_speed,forecast 2-2_M_rel_humid,forecast 2-temp_gnd_lvl
2011,2,27,0,forecast hour 0,,,,,,,,,,,,,,
2011,2,27,0,forecast hour 1,,,,,,,,,,,,,,
2011,2,27,0,forecast hour 2,,,,,,,,,,,,,,
2011,2,29,0,forecast hour 0,,,,,,,,,,,,,,
2011,2,29,0,forecast hour 1,,,,,,,,,,,,,,
2011,2,29,0,forecast hour 2,,,,,,,,,,,,,,
2011,2,30,0,forecast hour 0,,,,,,,,,,,,,,
2011,2,30,0,forecast hour 1,,,,,,,,,,,,,,
2011,2,30,0,forecast hour 2,,,,,,,,,,,,,,
2011,3,3,0,forecast hour 0,,,,,,,,,,,,,,
2011,3,3,0,forecast hour 1,,,,,,,,,,,,,,
2011,3,3,0,forecast hour 2,,,,,,,,,,,,,,
2011,3,4,0,forecast hour 0,,,,,,,,,,,,,,
2011,3,4,0,forecast hour 1,,,,,,,,,,,,,,
2011,3,4,0,forecast hour 2,,,,,,,,,,,,,,
2011,3,5,0,forecast hour 0,,,,,,,,,,,,,,
2011,3,5,0,forecast hour 1,,,,,,,,,,,,,,
2011,3,5,0,forecast hour 2,,,,,,,,,,,,,,
2011,3,6,0,forecast hour 0,,,,,,,,,,,,,,
2011,3,6,0,forecast hour 1,,,,,,,,,,,,,,
2011,3,6,0,forecast hour 2,,,,,,,,,,,,,,
2011,6,19,0,forecast hour 0,,,,,,,,,,,,,,
2011,6,19,0,forecast hour 1,,,,,,,,,,,,,,
2011,6,27,0,forecast hour 0,,,,,,,,,,,,,,
2011,6,27,0,forecast hour 1,,,,,,,,,,,,,,
2011,6,27,0,forecast hour 2,,,,,,,,,,,,,,
